"Time","GHI"
2022-12-26 08:21:00,6.89 W/m²
2022-12-26 08:22:00,6.92 W/m²
2022-12-26 08:23:00,6.37 W/m²
2022-12-26 08:24:00,6.67 W/m²
2022-12-26 08:25:00,6.24 W/m²
2022-12-26 08:26:00,6.21 W/m²
2022-12-26 08:27:00,6.45 W/m²
2022-12-26 08:28:00,7.15 W/m²
2022-12-26 08:29:00,7.85 W/m²
2022-12-26 08:30:00,8.12 W/m²
2022-12-26 08:31:00,8.23 W/m²
2022-12-26 08:32:00,8.26 W/m²
2022-12-26 08:33:00,8.59 W/m²
2022-12-26 08:34:00,8.76 W/m²
2022-12-26 08:35:00,8.78 W/m²
2022-12-26 08:36:00,8.41 W/m²
2022-12-26 08:37:00,7.93 W/m²
2022-12-26 08:38:00,8.16 W/m²
2022-12-26 08:39:00,9.20 W/m²
2022-12-26 08:40:00,9.92 W/m²
2022-12-26 08:41:00,9.83 W/m²
2022-12-26 08:42:00,9.19 W/m²
2022-12-26 08:43:00,8.65 W/m²
2022-12-26 08:44:00,8.38 W/m²
2022-12-26 08:45:00,8.41 W/m²
2022-12-26 08:46:00,8.52 W/m²
2022-12-26 08:47:00,8.72 W/m²
2022-12-26 08:48:00,8.56 W/m²
2022-12-26 08:49:00,8.86 W/m²
2022-12-26 08:50:00,9.76 W/m²
2022-12-26 08:51:00,11.3 W/m²
2022-12-26 08:52:00,12.7 W/m²
2022-12-26 08:53:00,13.7 W/m²
2022-12-26 08:54:00,12.5 W/m²
2022-12-26 08:55:00,11.4 W/m²
2022-12-26 08:56:00,11.0 W/m²
2022-12-26 08:57:00,11.1 W/m²
2022-12-26 08:58:00,10.8 W/m²
2022-12-26 08:59:00,12.1 W/m²
2022-12-26 09:00:00,14.6 W/m²
2022-12-26 09:01:00,18.0 W/m²
2022-12-26 09:02:00,14.4 W/m²
2022-12-26 09:03:00,12.6 W/m²
2022-12-26 09:04:00,13.8 W/m²
2022-12-26 09:05:00,14.4 W/m²
2022-12-26 09:06:00,14.5 W/m²
2022-12-26 09:07:00,17.4 W/m²
2022-12-26 09:08:00,18.1 W/m²
2022-12-26 09:09:00,17.8 W/m²
2022-12-26 09:10:00,17.5 W/m²
2022-12-26 09:11:00,21.2 W/m²
2022-12-26 09:12:00,24.5 W/m²
2022-12-26 09:13:00,28.1 W/m²
2022-12-26 09:14:00,33.2 W/m²
2022-12-26 09:15:00,33.6 W/m²
2022-12-26 09:16:00,29.3 W/m²
2022-12-26 09:17:00,28.8 W/m²
2022-12-26 09:18:00,24.1 W/m²
2022-12-26 09:19:00,23.1 W/m²
2022-12-26 09:20:00,22.9 W/m²
2022-12-26 09:21:00,23.5 W/m²
2022-12-26 09:22:00,25.6 W/m²
2022-12-26 09:23:00,27.2 W/m²
2022-12-26 09:24:00,31.2 W/m²
2022-12-26 09:25:00,34.0 W/m²
2022-12-26 09:26:00,35.7 W/m²
2022-12-26 09:27:00,37.4 W/m²
2022-12-26 09:28:00,39.5 W/m²
2022-12-26 09:29:00,42.6 W/m²
2022-12-26 09:30:00,43.4 W/m²
2022-12-26 09:31:00,40.8 W/m²
2022-12-26 09:32:00,40.4 W/m²
2022-12-26 09:33:00,42.0 W/m²
2022-12-26 09:34:00,42.7 W/m²
2022-12-26 09:35:00,41.7 W/m²
2022-12-26 09:36:00,40.4 W/m²
2022-12-26 09:37:00,38.8 W/m²
2022-12-26 09:38:00,36.8 W/m²
2022-12-26 09:39:00,34.7 W/m²
2022-12-26 09:40:00,32.6 W/m²
2022-12-26 09:41:00,31.2 W/m²
2022-12-26 09:42:00,29.6 W/m²
2022-12-26 09:43:00,29.2 W/m²
2022-12-26 09:44:00,29.9 W/m²
2022-12-26 09:45:00,31.0 W/m²
2022-12-26 09:46:00,31.9 W/m²
2022-12-26 09:47:00,32.5 W/m²
2022-12-26 09:48:00,33.9 W/m²
2022-12-26 09:49:00,35.3 W/m²
2022-12-26 09:50:00,35.4 W/m²
2022-12-26 09:51:00,35.9 W/m²
2022-12-26 09:52:00,37.5 W/m²
2022-12-26 09:53:00,39.8 W/m²
2022-12-26 09:54:00,41.6 W/m²
2022-12-26 09:55:00,42.9 W/m²
2022-12-26 09:56:00,45.2 W/m²
2022-12-26 09:57:00,48.1 W/m²
2022-12-26 09:58:00,51.1 W/m²
2022-12-26 09:59:00,53.3 W/m²
2022-12-26 10:00:00,54.8 W/m²
2022-12-26 10:01:00,52.4 W/m²
2022-12-26 10:02:00,44.1 W/m²
2022-12-26 10:03:00,35.6 W/m²
2022-12-26 10:04:00,31.8 W/m²
2022-12-26 10:05:00,30.9 W/m²
2022-12-26 10:06:00,32.1 W/m²
2022-12-26 10:07:00,33.2 W/m²
2022-12-26 10:08:00,33.9 W/m²
2022-12-26 10:09:00,36.2 W/m²
2022-12-26 10:10:00,38.0 W/m²
2022-12-26 10:11:00,40.4 W/m²
2022-12-26 10:12:00,45.6 W/m²
2022-12-26 10:13:00,48.8 W/m²
2022-12-26 10:14:00,49.7 W/m²
2022-12-26 10:15:00,51.7 W/m²
2022-12-26 10:16:00,54.5 W/m²
