"Time","GHI"
2022-12-30 08:21:00,6.27 W/m²
2022-12-30 08:22:00,6.23 W/m²
2022-12-30 08:23:00,6.53 W/m²
2022-12-30 08:24:00,7.07 W/m²
2022-12-30 08:25:00,7.49 W/m²
2022-12-30 08:26:00,7.64 W/m²
2022-12-30 08:27:00,7.77 W/m²
2022-12-30 08:28:00,8.03 W/m²
2022-12-30 08:29:00,8.63 W/m²
2022-12-30 08:30:00,9.41 W/m²
2022-12-30 08:31:00,10.5 W/m²
2022-12-30 08:32:00,11.5 W/m²
2022-12-30 08:33:00,12.0 W/m²
2022-12-30 08:34:00,13.6 W/m²
2022-12-30 08:35:00,14.1 W/m²
2022-12-30 08:36:00,14.5 W/m²
2022-12-30 08:37:00,15.1 W/m²
2022-12-30 08:38:00,15.5 W/m²
2022-12-30 08:39:00,15.7 W/m²
2022-12-30 08:40:00,15.9 W/m²
2022-12-30 08:41:00,16.1 W/m²
2022-12-30 08:42:00,15.9 W/m²
2022-12-30 08:43:00,16.3 W/m²
2022-12-30 08:44:00,15.8 W/m²
2022-12-30 08:45:00,15.8 W/m²
2022-12-30 08:46:00,15.3 W/m²
2022-12-30 08:47:00,15.1 W/m²
2022-12-30 08:48:00,15.5 W/m²
2022-12-30 08:49:00,15.4 W/m²
2022-12-30 08:50:00,15.5 W/m²
2022-12-30 08:51:00,15.7 W/m²
2022-12-30 08:52:00,16.4 W/m²
2022-12-30 08:53:00,16.5 W/m²
2022-12-30 08:54:00,16.5 W/m²
2022-12-30 08:55:00,16.6 W/m²
2022-12-30 08:56:00,17.6 W/m²
2022-12-30 08:57:00,17.1 W/m²
2022-12-30 08:58:00,18.5 W/m²
2022-12-30 08:59:00,19.0 W/m²
2022-12-30 09:00:00,18.5 W/m²
2022-12-30 09:01:00,20.3 W/m²
2022-12-30 09:02:00,21.2 W/m²
2022-12-30 09:03:00,21.4 W/m²
2022-12-30 09:04:00,21.2 W/m²
2022-12-30 09:05:00,21.5 W/m²
2022-12-30 09:06:00,21.4 W/m²
2022-12-30 09:07:00,21.6 W/m²
2022-12-30 09:08:00,21.9 W/m²
2022-12-30 09:09:00,21.8 W/m²
2022-12-30 09:10:00,22.1 W/m²
2022-12-30 09:11:00,22.2 W/m²
2022-12-30 09:12:00,22.4 W/m²
2022-12-30 09:13:00,22.5 W/m²
2022-12-30 09:14:00,22.6 W/m²
2022-12-30 09:15:00,22.9 W/m²
2022-12-30 09:16:00,23.0 W/m²
2022-12-30 09:17:00,23.3 W/m²
2022-12-30 09:18:00,23.4 W/m²
2022-12-30 09:19:00,23.7 W/m²
2022-12-30 09:20:00,23.9 W/m²
2022-12-30 09:21:00,24.1 W/m²
2022-12-30 09:22:00,24.4 W/m²
2022-12-30 09:23:00,24.7 W/m²
2022-12-30 09:24:00,24.8 W/m²
2022-12-30 09:25:00,25.0 W/m²
2022-12-30 09:26:00,25.4 W/m²
2022-12-30 09:27:00,25.6 W/m²
2022-12-30 09:28:00,26.1 W/m²
2022-12-30 09:29:00,26.2 W/m²
2022-12-30 09:30:00,26.6 W/m²
2022-12-30 09:31:00,26.7 W/m²
2022-12-30 09:32:00,27.0 W/m²
2022-12-30 09:33:00,27.5 W/m²
2022-12-30 09:34:00,27.7 W/m²
2022-12-30 09:35:00,28.4 W/m²
2022-12-30 09:36:00,28.4 W/m²
2022-12-30 09:37:00,29.0 W/m²
2022-12-30 09:38:00,29.1 W/m²
2022-12-30 09:39:00,29.5 W/m²
2022-12-30 09:40:00,30.1 W/m²
2022-12-30 09:41:00,30.5 W/m²
2022-12-30 09:42:00,30.9 W/m²
2022-12-30 09:43:00,31.8 W/m²
2022-12-30 09:44:00,32.3 W/m²
2022-12-30 09:45:00,32.5 W/m²
2022-12-30 09:46:00,33.0 W/m²
2022-12-30 09:47:00,33.4 W/m²
2022-12-30 09:48:00,33.7 W/m²
2022-12-30 09:49:00,33.9 W/m²
2022-12-30 09:50:00,34.4 W/m²
2022-12-30 09:51:00,34.8 W/m²
2022-12-30 09:52:00,35.1 W/m²
2022-12-30 09:53:00,35.8 W/m²
2022-12-30 09:54:00,36.1 W/m²
2022-12-30 09:55:00,36.9 W/m²
2022-12-30 09:56:00,37.5 W/m²
2022-12-30 09:57:00,37.6 W/m²
2022-12-30 09:58:00,38.5 W/m²
2022-12-30 09:59:00,38.5 W/m²
2022-12-30 10:00:00,38.7 W/m²
2022-12-30 10:01:00,39.0 W/m²
2022-12-30 10:02:00,39.8 W/m²
2022-12-30 10:03:00,39.9 W/m²
2022-12-30 10:04:00,40.5 W/m²
2022-12-30 10:05:00,41.2 W/m²
2022-12-30 10:06:00,43.1 W/m²
2022-12-30 10:07:00,42.0 W/m²
2022-12-30 10:08:00,42.5 W/m²
2022-12-30 10:09:00,42.9 W/m²
2022-12-30 10:10:00,43.4 W/m²
2022-12-30 10:11:00,44.0 W/m²
2022-12-30 10:12:00,44.5 W/m²
2022-12-30 10:13:00,45.7 W/m²
2022-12-30 10:14:00,46.2 W/m²
2022-12-30 10:15:00,47.5 W/m²
2022-12-30 10:16:00,48.0 W/m²
2022-12-30 10:17:00,47.4 W/m²
2022-12-30 10:18:00,47.0 W/m²
2022-12-30 10:19:00,47.5 W/m²
2022-12-30 10:20:00,47.8 W/m²
2022-12-30 10:21:00,48.4 W/m²
2022-12-30 10:22:00,49.1 W/m²
2022-12-30 10:23:00,48.8 W/m²
2022-12-30 10:24:00,49.5 W/m²
2022-12-30 10:25:00,50.3 W/m²
2022-12-30 10:26:00,50.8 W/m²
2022-12-30 10:27:00,51.0 W/m²
2022-12-30 10:28:00,52.0 W/m²
2022-12-30 10:29:00,51.4 W/m²
2022-12-30 10:30:00,51.9 W/m²
2022-12-30 10:31:00,52.3 W/m²
2022-12-30 10:32:00,52.4 W/m²
2022-12-30 10:33:00,53.1 W/m²
2022-12-30 10:34:00,53.9 W/m²
2022-12-30 10:35:00,53.8 W/m²
2022-12-30 10:36:00,53.7 W/m²
2022-12-30 10:37:00,54.2 W/m²
2022-12-30 10:38:00,55.3 W/m²
2022-12-30 10:39:00,55.3 W/m²
2022-12-30 10:40:00,55.9 W/m²
2022-12-30 10:41:00,55.8 W/m²
2022-12-30 10:42:00,56.5 W/m²
2022-12-30 10:43:00,56.1 W/m²
2022-12-30 10:44:00,56.2 W/m²
2022-12-30 10:45:00,57.1 W/m²
2022-12-30 10:46:00,56.9 W/m²
2022-12-30 10:47:00,57.4 W/m²
2022-12-30 10:48:00,57.8 W/m²
2022-12-30 10:49:00,57.8 W/m²
2022-12-30 10:50:00,58.5 W/m²
2022-12-30 10:51:00,58.5 W/m²
2022-12-30 10:52:00,59.0 W/m²
2022-12-30 10:53:00,59.0 W/m²
2022-12-30 10:54:00,59.7 W/m²
2022-12-30 10:55:00,59.9 W/m²
2022-12-30 10:56:00,60.4 W/m²
2022-12-30 10:57:00,61.0 W/m²
2022-12-30 10:58:00,60.8 W/m²
2022-12-30 10:59:00,60.7 W/m²
2022-12-30 11:00:00,61.5 W/m²
2022-12-30 11:01:00,61.7 W/m²
2022-12-30 11:02:00,61.5 W/m²
2022-12-30 11:03:00,61.9 W/m²
2022-12-30 11:04:00,62.3 W/m²
2022-12-30 11:05:00,62.2 W/m²
2022-12-30 11:06:00,62.8 W/m²
2022-12-30 11:07:00,63.0 W/m²
2022-12-30 11:08:00,63.3 W/m²
2022-12-30 11:09:00,63.2 W/m²
2022-12-30 11:10:00,63.4 W/m²
2022-12-30 11:11:00,64.3 W/m²
2022-12-30 11:12:00,64.5 W/m²
2022-12-30 11:13:00,65.0 W/m²
2022-12-30 11:14:00,65.1 W/m²
2022-12-30 11:15:00,65.3 W/m²
2022-12-30 11:16:00,65.5 W/m²
2022-12-30 11:17:00,65.9 W/m²
2022-12-30 11:18:00,65.9 W/m²
2022-12-30 11:19:00,66.3 W/m²
2022-12-30 11:20:00,66.6 W/m²
2022-12-30 11:21:00,67.2 W/m²
2022-12-30 11:22:00,67.4 W/m²
2022-12-30 11:23:00,67.4 W/m²
2022-12-30 11:24:00,67.8 W/m²
2022-12-30 11:25:00,67.5 W/m²
2022-12-30 11:26:00,67.6 W/m²
2022-12-30 11:27:00,67.9 W/m²
2022-12-30 11:28:00,68.5 W/m²
2022-12-30 11:29:00,68.4 W/m²
2022-12-30 11:30:00,68.9 W/m²
2022-12-30 11:31:00,69.1 W/m²
2022-12-30 11:32:00,69.7 W/m²
2022-12-30 11:33:00,69.8 W/m²
2022-12-30 11:34:00,70.2 W/m²
2022-12-30 11:35:00,70.5 W/m²
2022-12-30 11:36:00,70.0 W/m²
2022-12-30 11:37:00,71.0 W/m²
2022-12-30 11:38:00,71.3 W/m²
2022-12-30 11:39:00,71.8 W/m²
2022-12-30 11:40:00,71.6 W/m²
2022-12-30 11:41:00,72.6 W/m²
2022-12-30 11:42:00,73.3 W/m²
2022-12-30 11:43:00,72.1 W/m²
2022-12-30 11:44:00,67.3 W/m²
2022-12-30 11:45:00,67.0 W/m²
2022-12-30 11:46:00,73.3 W/m²
2022-12-30 11:47:00,73.1 W/m²
2022-12-30 11:48:00,75.3 W/m²
2022-12-30 11:49:00,74.9 W/m²
2022-12-30 11:50:00,78.5 W/m²
2022-12-30 11:51:00,74.6 W/m²
2022-12-30 11:52:00,75.1 W/m²
2022-12-30 11:53:00,74.8 W/m²
2022-12-30 11:54:00,75.8 W/m²
2022-12-30 11:55:00,80.5 W/m²
2022-12-30 11:56:00,81.9 W/m²
2022-12-30 11:57:00,82.9 W/m²
2022-12-30 11:58:00,83.5 W/m²
2022-12-30 11:59:00,77.5 W/m²
2022-12-30 12:00:00,79.0 W/m²
2022-12-30 12:01:00,77.2 W/m²
2022-12-30 12:02:00,77.0 W/m²
2022-12-30 12:03:00,78.3 W/m²
2022-12-30 12:04:00,78.0 W/m²
2022-12-30 12:05:00,77.8 W/m²
2022-12-30 12:06:00,77.7 W/m²
2022-12-30 12:07:00,77.8 W/m²
2022-12-30 12:08:00,75.5 W/m²
2022-12-30 12:09:00,74.6 W/m²
2022-12-30 12:10:00,75.3 W/m²
2022-12-30 12:11:00,76.2 W/m²
2022-12-30 12:12:00,75.5 W/m²
2022-12-30 12:13:00,75.9 W/m²
2022-12-30 12:14:00,76.5 W/m²
2022-12-30 12:15:00,77.2 W/m²
2022-12-30 12:16:00,76.7 W/m²
2022-12-30 12:17:00,76.0 W/m²
2022-12-30 12:18:00,76.3 W/m²
2022-12-30 12:19:00,75.5 W/m²
2022-12-30 12:20:00,76.0 W/m²
2022-12-30 12:21:00,75.8 W/m²
2022-12-30 12:22:00,76.5 W/m²
2022-12-30 12:23:00,74.8 W/m²
2022-12-30 12:24:00,72.0 W/m²
2022-12-30 12:25:00,71.4 W/m²
2022-12-30 12:26:00,72.4 W/m²
2022-12-30 12:27:00,67.7 W/m²
2022-12-30 12:28:00,69.6 W/m²
2022-12-30 12:29:00,72.7 W/m²
2022-12-30 12:30:00,73.1 W/m²
2022-12-30 12:31:00,74.2 W/m²
2022-12-30 12:32:00,74.9 W/m²
2022-12-30 12:33:00,76.3 W/m²
2022-12-30 12:34:00,76.8 W/m²
2022-12-30 12:35:00,73.1 W/m²
2022-12-30 12:36:00,72.9 W/m²
2022-12-30 12:37:00,73.2 W/m²
2022-12-30 12:38:00,75.5 W/m²
2022-12-30 12:39:00,74.5 W/m²
2022-12-30 12:40:00,74.5 W/m²
2022-12-30 12:41:00,72.4 W/m²
2022-12-30 12:42:00,68.8 W/m²
2022-12-30 12:43:00,70.0 W/m²
2022-12-30 12:44:00,70.1 W/m²
2022-12-30 12:45:00,71.6 W/m²
2022-12-30 12:46:00,72.1 W/m²
2022-12-30 12:47:00,74.5 W/m²
2022-12-30 12:48:00,75.0 W/m²
2022-12-30 12:49:00,74.9 W/m²
2022-12-30 12:50:00,74.4 W/m²
2022-12-30 12:51:00,74.3 W/m²
2022-12-30 12:52:00,73.4 W/m²
2022-12-30 12:53:00,73.1 W/m²
2022-12-30 12:54:00,70.1 W/m²
2022-12-30 12:55:00,70.7 W/m²
2022-12-30 12:56:00,69.6 W/m²
2022-12-30 12:57:00,69.7 W/m²
2022-12-30 12:58:00,69.2 W/m²
2022-12-30 12:59:00,70.0 W/m²
2022-12-30 13:00:00,66.2 W/m²
2022-12-30 13:01:00,70.5 W/m²
2022-12-30 13:02:00,71.4 W/m²
2022-12-30 13:03:00,68.4 W/m²
2022-12-30 13:04:00,69.2 W/m²
2022-12-30 13:05:00,67.1 W/m²
2022-12-30 13:06:00,59.6 W/m²
2022-12-30 13:07:00,55.4 W/m²
2022-12-30 13:08:00,54.7 W/m²
2022-12-30 13:09:00,55.5 W/m²
2022-12-30 13:10:00,57.8 W/m²
2022-12-30 13:11:00,58.6 W/m²
2022-12-30 13:12:00,64.1 W/m²
2022-12-30 13:13:00,64.6 W/m²
2022-12-30 13:14:00,67.1 W/m²
2022-12-30 13:15:00,72.8 W/m²
2022-12-30 13:16:00,78.4 W/m²
2022-12-30 13:17:00,78.6 W/m²
2022-12-30 13:18:00,82.1 W/m²
2022-12-30 13:19:00,86.8 W/m²
2022-12-30 13:20:00,89.7 W/m²
2022-12-30 13:21:00,92.3 W/m²
2022-12-30 13:22:00,93.7 W/m²
2022-12-30 13:23:00,92.5 W/m²
2022-12-30 13:24:00,93.5 W/m²
2022-12-30 13:25:00,96.0 W/m²
2022-12-30 13:26:00,96.6 W/m²
2022-12-30 13:27:00,96.4 W/m²
2022-12-30 13:28:00,97.1 W/m²
2022-12-30 13:29:00,98.9 W/m²
2022-12-30 13:30:00,98.6 W/m²
2022-12-30 13:31:00,97.3 W/m²
2022-12-30 13:32:00,95.8 W/m²
2022-12-30 13:33:00,94.7 W/m²
2022-12-30 13:34:00,93.3 W/m²
2022-12-30 13:35:00,92.1 W/m²
2022-12-30 13:36:00,90.4 W/m²
2022-12-30 13:37:00,87.5 W/m²
2022-12-30 13:38:00,82.4 W/m²
2022-12-30 13:39:00,83.9 W/m²
2022-12-30 13:40:00,82.4 W/m²
2022-12-30 13:41:00,79.9 W/m²
2022-12-30 13:42:00,78.5 W/m²
2022-12-30 13:43:00,77.5 W/m²
2022-12-30 13:44:00,75.7 W/m²
2022-12-30 13:45:00,74.7 W/m²
2022-12-30 13:46:00,72.8 W/m²
2022-12-30 13:47:00,72.2 W/m²
2022-12-30 13:48:00,71.5 W/m²
2022-12-30 13:49:00,70.1 W/m²
2022-12-30 13:50:00,68.4 W/m²
2022-12-30 13:51:00,66.7 W/m²
2022-12-30 13:52:00,64.3 W/m²
2022-12-30 13:53:00,62.0 W/m²
2022-12-30 13:54:00,61.0 W/m²
2022-12-30 13:55:00,61.0 W/m²
2022-12-30 13:56:00,59.7 W/m²
2022-12-30 13:57:00,56.5 W/m²
2022-12-30 13:58:00,53.7 W/m²
2022-12-30 13:59:00,52.0 W/m²
2022-12-30 14:00:00,51.8 W/m²
2022-12-30 14:01:00,50.5 W/m²
2022-12-30 14:02:00,48.9 W/m²
2022-12-30 14:03:00,48.2 W/m²
2022-12-30 14:04:00,48.9 W/m²
2022-12-30 14:05:00,48.9 W/m²
2022-12-30 14:06:00,49.4 W/m²
2022-12-30 14:07:00,50.2 W/m²
2022-12-30 14:08:00,50.4 W/m²
2022-12-30 14:09:00,50.2 W/m²
2022-12-30 14:10:00,49.8 W/m²
2022-12-30 14:11:00,50.0 W/m²
2022-12-30 14:12:00,49.8 W/m²
2022-12-30 14:13:00,50.3 W/m²
2022-12-30 14:14:00,51.2 W/m²
2022-12-30 14:15:00,51.9 W/m²
2022-12-30 14:16:00,52.2 W/m²
2022-12-30 14:17:00,52.4 W/m²
2022-12-30 14:18:00,53.2 W/m²
2022-12-30 14:19:00,54.6 W/m²
2022-12-30 14:20:00,56.0 W/m²
2022-12-30 14:21:00,57.2 W/m²
2022-12-30 14:22:00,59.2 W/m²
2022-12-30 14:23:00,60.1 W/m²
2022-12-30 14:24:00,61.4 W/m²
2022-12-30 14:25:00,62.4 W/m²
2022-12-30 14:26:00,63.6 W/m²
2022-12-30 14:27:00,63.6 W/m²
2022-12-30 14:28:00,63.4 W/m²
2022-12-30 14:29:00,62.9 W/m²
2022-12-30 14:30:00,62.3 W/m²
