"Time","GHI"
2022-12-23 09:18:15,13.4 W/m²
2022-12-23 09:18:45,14.3 W/m²
2022-12-23 09:19:15,16.0 W/m²
2022-12-23 09:19:45,17.5 W/m²
2022-12-23 09:20:15,18.7 W/m²
2022-12-23 09:20:45,19.7 W/m²
2022-12-23 09:21:15,20.8 W/m²
2022-12-23 09:21:45,20.7 W/m²
2022-12-23 09:22:15,20.8 W/m²
2022-12-23 09:22:45,20.7 W/m²
2022-12-23 09:23:15,20.3 W/m²
2022-12-23 09:23:45,20.5 W/m²
2022-12-23 09:24:15,19.5 W/m²
2022-12-23 09:24:45,19.7 W/m²
2022-12-23 09:25:15,19.2 W/m²
2022-12-23 09:25:45,19.4 W/m²
2022-12-23 09:26:15,20.0 W/m²
2022-12-23 09:26:45,20.8 W/m²
2022-12-23 09:27:15,21.2 W/m²
2022-12-23 09:27:45,21.7 W/m²
2022-12-23 09:28:15,21.7 W/m²
2022-12-23 09:28:45,21.3 W/m²
2022-12-23 09:29:15,20.4 W/m²
2022-12-23 09:29:45,19.4 W/m²
2022-12-23 09:30:15,19.3 W/m²
2022-12-23 09:30:45,19.2 W/m²
2022-12-23 09:31:15,19.2 W/m²
2022-12-23 09:31:45,19.4 W/m²
2022-12-23 09:32:15,20.9 W/m²
2022-12-23 09:32:45,22.2 W/m²
2022-12-23 09:33:15,24.2 W/m²
2022-12-23 09:33:45,25.6 W/m²
2022-12-23 09:34:15,27.5 W/m²
2022-12-23 09:34:45,28.1 W/m²
2022-12-23 09:35:15,28.4 W/m²
2022-12-23 09:36:00,28.6 W/m²
2022-12-23 09:36:15,28.3 W/m²
2022-12-23 09:37:00,27.7 W/m²
2022-12-23 09:37:15,27.1 W/m²
2022-12-23 09:38:00,27.0 W/m²
2022-12-23 09:38:15,27.0 W/m²
2022-12-23 09:38:45,27.0 W/m²
2022-12-23 09:39:15,27.0 W/m²
2022-12-23 09:39:45,26.3 W/m²
2022-12-23 09:40:15,26.7 W/m²
2022-12-23 09:40:45,27.6 W/m²
2022-12-23 09:41:15,28.3 W/m²
2022-12-23 09:41:45,29.3 W/m²
2022-12-23 09:42:15,29.3 W/m²
2022-12-23 09:42:45,29.3 W/m²
2022-12-23 09:43:15,28.8 W/m²
2022-12-23 09:43:45,28.6 W/m²
2022-12-23 09:44:15,28.4 W/m²
2022-12-23 09:44:45,27.6 W/m²
2022-12-23 09:45:15,26.2 W/m²
2022-12-23 09:45:45,24.6 W/m²
2022-12-23 09:46:15,23.3 W/m²
2022-12-23 09:46:45,21.9 W/m²
2022-12-23 09:47:15,20.1 W/m²
2022-12-23 09:47:45,18.8 W/m²
2022-12-23 09:48:15,16.7 W/m²
2022-12-23 09:48:45,15.9 W/m²
2022-12-23 09:49:15,14.9 W/m²
2022-12-23 09:49:45,14.5 W/m²
2022-12-23 09:50:15,14.6 W/m²
2022-12-23 09:50:45,14.9 W/m²
2022-12-23 09:51:15,15.3 W/m²
2022-12-23 09:51:45,15.0 W/m²
2022-12-23 09:52:15,14.9 W/m²
2022-12-23 09:52:45,14.9 W/m²
2022-12-23 09:53:15,15.5 W/m²
2022-12-23 09:53:45,16.4 W/m²
2022-12-23 09:54:15,18.2 W/m²
2022-12-23 09:54:45,20.9 W/m²
2022-12-23 09:55:15,24.3 W/m²
2022-12-23 09:55:45,26.5 W/m²
2022-12-23 09:56:15,28.4 W/m²
2022-12-23 09:56:45,28.6 W/m²
2022-12-23 09:57:15,27.6 W/m²
2022-12-23 09:57:45,26.9 W/m²
2022-12-23 09:58:15,27.3 W/m²
2022-12-23 09:58:45,29.5 W/m²
2022-12-23 09:59:15,31.6 W/m²
2022-12-23 09:59:45,33.7 W/m²
2022-12-23 10:00:15,34.1 W/m²
2022-12-23 10:00:45,33.7 W/m²
2022-12-23 10:01:15,33.8 W/m²
2022-12-23 10:01:45,34.4 W/m²
2022-12-23 10:02:15,35.5 W/m²
2022-12-23 10:02:45,36.2 W/m²
2022-12-23 10:03:15,35.6 W/m²
2022-12-23 10:03:45,34.7 W/m²
2022-12-23 10:04:15,34.1 W/m²
2022-12-23 10:04:45,32.5 W/m²
2022-12-23 10:05:15,31.0 W/m²
2022-12-23 10:05:45,29.5 W/m²
2022-12-23 10:06:15,29.8 W/m²
2022-12-23 10:06:45,30.6 W/m²
2022-12-23 10:07:15,32.7 W/m²
2022-12-23 10:07:45,34.7 W/m²
2022-12-23 10:08:15,35.2 W/m²
2022-12-23 10:08:45,35.3 W/m²
2022-12-23 10:09:15,34.8 W/m²
2022-12-23 10:10:00,34.6 W/m²
2022-12-23 10:10:15,34.9 W/m²
2022-12-23 10:10:45,36.7 W/m²
2022-12-23 10:11:15,38.6 W/m²
2022-12-23 10:11:45,39.9 W/m²
2022-12-23 10:12:15,40.8 W/m²
2022-12-23 10:12:45,40.8 W/m²
2022-12-23 10:13:15,41.0 W/m²
2022-12-23 10:13:45,38.7 W/m²
2022-12-23 10:14:15,35.4 W/m²
2022-12-23 10:15:00,31.5 W/m²
2022-12-23 10:15:15,27.9 W/m²
2022-12-23 10:15:45,25.3 W/m²
2022-12-23 10:16:15,23.7 W/m²
2022-12-23 10:16:45,22.6 W/m²
2022-12-23 10:17:15,20.8 W/m²
2022-12-23 10:17:45,20.5 W/m²
2022-12-23 10:18:15,19.5 W/m²
2022-12-23 10:18:45,18.6 W/m²
2022-12-23 10:19:15,18.9 W/m²
2022-12-23 10:19:45,18.7 W/m²
2022-12-23 10:20:15,18.7 W/m²
2022-12-23 10:20:45,18.8 W/m²
2022-12-23 10:21:15,18.8 W/m²
2022-12-23 10:21:45,17.5 W/m²
2022-12-23 10:22:15,17.1 W/m²
2022-12-23 10:22:45,17.2 W/m²
2022-12-23 10:23:15,17.5 W/m²
2022-12-23 10:23:45,17.1 W/m²
2022-12-23 10:24:15,17.1 W/m²
2022-12-23 10:24:45,16.8 W/m²
2022-12-23 10:25:15,16.7 W/m²
2022-12-23 10:25:45,16.4 W/m²
2022-12-23 10:26:15,16.1 W/m²
2022-12-23 10:26:45,16.8 W/m²
2022-12-23 10:27:15,17.4 W/m²
2022-12-23 10:27:45,18.0 W/m²
2022-12-23 10:28:15,19.7 W/m²
2022-12-23 10:28:45,21.1 W/m²
2022-12-23 10:29:15,21.7 W/m²
2022-12-23 10:29:45,22.8 W/m²
2022-12-23 10:30:15,23.8 W/m²
2022-12-23 10:30:45,23.3 W/m²
2022-12-23 10:31:15,21.8 W/m²
2022-12-23 10:31:45,22.1 W/m²
2022-12-23 10:32:15,21.6 W/m²
2022-12-23 10:32:45,22.6 W/m²
2022-12-23 10:33:15,22.9 W/m²
2022-12-23 10:33:45,23.7 W/m²
2022-12-23 10:34:15,23.4 W/m²
2022-12-23 10:34:45,24.1 W/m²
2022-12-23 10:35:15,24.1 W/m²
2022-12-23 10:35:45,24.5 W/m²
2022-12-23 10:36:15,24.4 W/m²
2022-12-23 10:36:45,23.6 W/m²
2022-12-23 10:37:15,22.7 W/m²
2022-12-23 10:38:00,21.8 W/m²
2022-12-23 10:38:15,22.3 W/m²
2022-12-23 10:38:45,21.9 W/m²
2022-12-23 10:39:15,21.9 W/m²
2022-12-23 10:39:45,21.5 W/m²
2022-12-23 10:40:15,20.9 W/m²
2022-12-23 10:41:00,20.0 W/m²
2022-12-23 10:41:15,19.9 W/m²
2022-12-23 10:42:15,18.5 W/m²
2022-12-23 10:43:00,17.3 W/m²
2022-12-23 10:43:15,16.7 W/m²
2022-12-23 10:43:45,16.0 W/m²
2022-12-23 10:44:15,15.5 W/m²
2022-12-23 10:44:45,16.4 W/m²
2022-12-23 10:45:15,17.0 W/m²
2022-12-23 10:46:00,18.8 W/m²
2022-12-23 10:46:15,20.2 W/m²
2022-12-23 10:47:00,23.7 W/m²
2022-12-23 10:47:15,27.0 W/m²
2022-12-23 10:47:45,31.3 W/m²
2022-12-23 10:48:15,36.1 W/m²
2022-12-23 10:49:00,41.2 W/m²
2022-12-23 10:49:15,46.3 W/m²
2022-12-23 10:49:45,49.1 W/m²
2022-12-23 10:50:15,51.6 W/m²
2022-12-23 10:51:00,54.7 W/m²
2022-12-23 10:51:15,56.7 W/m²
2022-12-23 10:52:00,58.2 W/m²
2022-12-23 10:52:15,59.9 W/m²
2022-12-23 10:52:45,63.0 W/m²
2022-12-23 10:53:15,66.2 W/m²
2022-12-23 10:53:45,68.5 W/m²
2022-12-23 10:54:15,68.5 W/m²
2022-12-23 10:55:00,65.3 W/m²
2022-12-23 10:55:15,62.8 W/m²
2022-12-23 10:55:45,59.6 W/m²
2022-12-23 10:56:15,59.6 W/m²
2022-12-23 10:57:00,59.7 W/m²
2022-12-23 10:57:15,61.8 W/m²
2022-12-23 10:58:00,64.1 W/m²
2022-12-23 10:58:15,68.0 W/m²
2022-12-23 10:59:00,74.8 W/m²
2022-12-23 10:59:15,81.7 W/m²
2022-12-23 11:00:00,86.4 W/m²
2022-12-23 11:00:15,90.7 W/m²
2022-12-23 11:01:00,93.9 W/m²
2022-12-23 11:01:15,98.2 W/m²
2022-12-23 11:02:00,101 W/m²
2022-12-23 11:02:15,103 W/m²
2022-12-23 11:03:00,100 W/m²
2022-12-23 11:03:15,113 W/m²
2022-12-23 11:04:00,107 W/m²
2022-12-23 11:04:15,90.1 W/m²
2022-12-23 11:05:00,84.6 W/m²
2022-12-23 11:05:15,79.7 W/m²
2022-12-23 11:05:45,75.7 W/m²
2022-12-23 11:06:45,65.7 W/m²
2022-12-23 11:07:15,61.8 W/m²
2022-12-23 11:07:45,58.1 W/m²
2022-12-23 11:08:15,56.6 W/m²
2022-12-23 11:08:45,63.5 W/m²
2022-12-23 11:09:15,56.2 W/m²
2022-12-23 11:09:45,57.1 W/m²
2022-12-23 11:10:15,59.6 W/m²
2022-12-23 11:10:45,62.3 W/m²
2022-12-23 11:11:15,66.7 W/m²
2022-12-23 11:11:45,70.9 W/m²
2022-12-23 11:12:15,74.9 W/m²
2022-12-23 11:12:45,76.6 W/m²
2022-12-23 11:13:15,77.3 W/m²
2022-12-23 11:13:45,76.7 W/m²
2022-12-23 11:14:15,74.6 W/m²
2022-12-23 11:14:45,71.5 W/m²
2022-12-23 11:15:15,68.3 W/m²
2022-12-23 11:16:00,67.2 W/m²
2022-12-23 11:16:15,66.4 W/m²
2022-12-23 11:16:45,64.2 W/m²
2022-12-23 11:17:15,61.4 W/m²
2022-12-23 11:17:45,60.2 W/m²
2022-12-23 11:18:15,61.7 W/m²
2022-12-23 11:18:45,60.4 W/m²
2022-12-23 11:19:15,60.5 W/m²
2022-12-23 11:19:45,59.5 W/m²
2022-12-23 11:20:45,54.6 W/m²
2022-12-23 11:21:15,51.8 W/m²
2022-12-23 11:22:00,49.7 W/m²
2022-12-23 11:22:15,49.3 W/m²
2022-12-23 11:23:00,50.8 W/m²
2022-12-23 11:23:15,50.6 W/m²
2022-12-23 11:24:00,48.9 W/m²
2022-12-23 11:24:15,46.5 W/m²
2022-12-23 11:25:00,44.3 W/m²
2022-12-23 11:25:15,41.2 W/m²
2022-12-23 11:26:00,39.4 W/m²
2022-12-23 11:26:15,37.7 W/m²
2022-12-23 11:27:00,36.7 W/m²
2022-12-23 11:27:15,35.9 W/m²
2022-12-23 11:28:00,34.7 W/m²
2022-12-23 11:28:15,34.3 W/m²
2022-12-23 11:29:00,34.9 W/m²
2022-12-23 11:29:15,35.8 W/m²
2022-12-23 11:30:00,37.0 W/m²
2022-12-23 11:30:15,39.0 W/m²
2022-12-23 11:31:00,41.0 W/m²
