"Time","GHI"
2022-12-31 08:21:00,5.11 W/m²
2022-12-31 08:22:00,5.31 W/m²
2022-12-31 08:23:00,6.44 W/m²
2022-12-31 08:24:00,6.97 W/m²
2022-12-31 08:25:00,7.27 W/m²
2022-12-31 08:26:00,8.22 W/m²
2022-12-31 08:27:00,9.10 W/m²
2022-12-31 08:28:00,9.54 W/m²
2022-12-31 08:29:00,9.89 W/m²
2022-12-31 08:30:00,10.5 W/m²
2022-12-31 08:31:00,10.9 W/m²
2022-12-31 08:32:00,12.3 W/m²
2022-12-31 08:33:00,13.6 W/m²
2022-12-31 08:34:00,14.9 W/m²
2022-12-31 08:35:00,16.5 W/m²
2022-12-31 08:36:00,16.7 W/m²
2022-12-31 08:37:00,17.6 W/m²
2022-12-31 08:38:00,18.3 W/m²
2022-12-31 08:39:00,19.0 W/m²
2022-12-31 08:40:00,19.0 W/m²
2022-12-31 08:41:00,19.5 W/m²
2022-12-31 08:42:00,20.2 W/m²
2022-12-31 08:43:00,21.5 W/m²
2022-12-31 08:44:00,22.9 W/m²
2022-12-31 08:45:00,24.8 W/m²
2022-12-31 08:46:00,26.0 W/m²
2022-12-31 08:47:00,26.8 W/m²
2022-12-31 08:48:00,28.0 W/m²
2022-12-31 08:49:00,28.7 W/m²
2022-12-31 08:50:00,28.5 W/m²
2022-12-31 08:51:00,28.2 W/m²
2022-12-31 08:52:00,27.4 W/m²
2022-12-31 08:53:00,27.4 W/m²
2022-12-31 08:54:00,27.2 W/m²
2022-12-31 08:55:00,27.3 W/m²
2022-12-31 08:56:00,27.0 W/m²
2022-12-31 08:57:00,27.3 W/m²
2022-12-31 08:58:00,27.9 W/m²
2022-12-31 08:59:00,28.9 W/m²
2022-12-31 09:00:00,30.1 W/m²
2022-12-31 09:01:00,32.0 W/m²
2022-12-31 09:02:00,32.8 W/m²
2022-12-31 09:03:00,33.8 W/m²
2022-12-31 09:04:00,33.8 W/m²
2022-12-31 09:05:00,34.5 W/m²
2022-12-31 09:06:00,36.0 W/m²
2022-12-31 09:07:00,37.5 W/m²
2022-12-31 09:08:00,39.4 W/m²
2022-12-31 09:09:00,40.8 W/m²
2022-12-31 09:10:00,40.0 W/m²
2022-12-31 09:11:00,38.4 W/m²
2022-12-31 09:12:00,37.4 W/m²
2022-12-31 09:13:00,36.1 W/m²
2022-12-31 09:14:00,35.3 W/m²
2022-12-31 09:15:00,34.6 W/m²
2022-12-31 09:16:00,34.0 W/m²
2022-12-31 09:17:00,32.6 W/m²
2022-12-31 09:18:00,32.0 W/m²
2022-12-31 09:19:00,33.5 W/m²
2022-12-31 09:20:00,34.0 W/m²
2022-12-31 09:21:00,36.5 W/m²
2022-12-31 09:22:00,37.7 W/m²
2022-12-31 09:23:00,38.0 W/m²
2022-12-31 09:24:00,38.8 W/m²
2022-12-31 09:25:00,38.4 W/m²
2022-12-31 09:26:00,37.0 W/m²
2022-12-31 09:27:00,37.1 W/m²
2022-12-31 09:28:00,37.5 W/m²
2022-12-31 09:29:00,38.4 W/m²
2022-12-31 09:30:00,39.7 W/m²
2022-12-31 09:31:00,40.3 W/m²
2022-12-31 09:32:00,41.0 W/m²
2022-12-31 09:33:00,41.7 W/m²
2022-12-31 09:34:00,41.4 W/m²
2022-12-31 09:35:00,41.5 W/m²
2022-12-31 09:36:00,43.2 W/m²
2022-12-31 09:37:00,45.6 W/m²
2022-12-31 09:38:00,47.8 W/m²
2022-12-31 09:39:00,49.6 W/m²
2022-12-31 09:40:00,51.4 W/m²
2022-12-31 09:41:00,53.8 W/m²
2022-12-31 09:42:00,55.0 W/m²
2022-12-31 09:43:00,57.2 W/m²
2022-12-31 09:44:00,59.6 W/m²
2022-12-31 09:45:00,61.8 W/m²
2022-12-31 09:46:00,62.5 W/m²
2022-12-31 09:47:00,63.3 W/m²
2022-12-31 09:48:00,62.3 W/m²
2022-12-31 09:49:00,61.8 W/m²
2022-12-31 09:50:00,62.3 W/m²
2022-12-31 09:51:00,63.7 W/m²
2022-12-31 09:52:00,63.7 W/m²
2022-12-31 09:53:00,63.3 W/m²
2022-12-31 09:54:00,62.1 W/m²
2022-12-31 09:55:00,60.9 W/m²
2022-12-31 09:56:00,60.1 W/m²
2022-12-31 09:57:00,60.6 W/m²
2022-12-31 09:58:00,61.1 W/m²
2022-12-31 09:59:00,61.8 W/m²
2022-12-31 10:00:00,62.8 W/m²
2022-12-31 10:01:00,63.4 W/m²
2022-12-31 10:02:00,61.9 W/m²
2022-12-31 10:03:00,60.6 W/m²
2022-12-31 10:04:00,61.1 W/m²
2022-12-31 10:05:00,62.2 W/m²
2022-12-31 10:06:00,62.7 W/m²
2022-12-31 10:07:00,62.3 W/m²
2022-12-31 10:08:00,62.0 W/m²
2022-12-31 10:09:00,62.0 W/m²
2022-12-31 10:10:00,62.5 W/m²
2022-12-31 10:11:00,64.9 W/m²
2022-12-31 10:12:00,64.8 W/m²
2022-12-31 10:13:00,63.3 W/m²
2022-12-31 10:14:00,63.8 W/m²
2022-12-31 10:15:00,65.3 W/m²
2022-12-31 10:16:00,66.5 W/m²
2022-12-31 10:17:00,67.3 W/m²
2022-12-31 10:18:00,67.7 W/m²
2022-12-31 10:19:00,69.7 W/m²
2022-12-31 10:20:00,69.6 W/m²
2022-12-31 10:21:00,70.2 W/m²
2022-12-31 10:22:00,72.3 W/m²
2022-12-31 10:23:00,74.3 W/m²
2022-12-31 10:24:00,74.6 W/m²
2022-12-31 10:25:00,71.8 W/m²
2022-12-31 10:26:00,70.8 W/m²
2022-12-31 10:27:00,69.1 W/m²
2022-12-31 10:28:00,67.7 W/m²
2022-12-31 10:29:00,66.8 W/m²
2022-12-31 10:30:00,68.2 W/m²
2022-12-31 10:31:00,69.8 W/m²
2022-12-31 10:32:00,68.8 W/m²
2022-12-31 10:33:00,64.9 W/m²
2022-12-31 10:34:00,59.7 W/m²
2022-12-31 10:35:00,58.5 W/m²
2022-12-31 10:36:00,54.7 W/m²
2022-12-31 10:37:00,50.1 W/m²
2022-12-31 10:38:00,46.9 W/m²
2022-12-31 10:39:00,44.0 W/m²
2022-12-31 10:40:00,42.0 W/m²
2022-12-31 10:41:00,38.0 W/m²
2022-12-31 10:42:00,35.8 W/m²
2022-12-31 10:43:00,33.4 W/m²
2022-12-31 10:44:00,31.6 W/m²
2022-12-31 10:45:00,31.0 W/m²
2022-12-31 10:46:00,30.9 W/m²
2022-12-31 10:47:00,30.9 W/m²
2022-12-31 10:48:00,33.2 W/m²
2022-12-31 10:49:00,37.2 W/m²
2022-12-31 10:50:00,39.5 W/m²
2022-12-31 10:51:00,42.7 W/m²
2022-12-31 10:52:00,46.5 W/m²
2022-12-31 10:53:00,48.8 W/m²
2022-12-31 10:54:00,48.5 W/m²
2022-12-31 10:55:00,48.6 W/m²
2022-12-31 10:56:00,50.0 W/m²
2022-12-31 10:57:00,53.3 W/m²
2022-12-31 10:58:00,56.9 W/m²
2022-12-31 10:59:00,60.7 W/m²
2022-12-31 11:00:00,64.2 W/m²
2022-12-31 11:01:00,65.1 W/m²
2022-12-31 11:02:00,65.5 W/m²
2022-12-31 11:03:00,65.2 W/m²
2022-12-31 11:04:00,65.3 W/m²
