"Time","GHI"
2023-01-05 08:13:00,2.25 W/m²
2023-01-05 08:14:00,2.39 W/m²
2023-01-05 08:15:00,2.38 W/m²
2023-01-05 08:16:00,2.51 W/m²
2023-01-05 08:17:00,2.70 W/m²
2023-01-05 08:18:00,2.76 W/m²
2023-01-05 08:19:00,3.12 W/m²
2023-01-05 08:20:00,2.99 W/m²
2023-01-05 08:21:00,3.41 W/m²
2023-01-05 08:22:00,3.57 W/m²
2023-01-05 08:23:00,3.85 W/m²
2023-01-05 08:24:00,4.79 W/m²
2023-01-05 08:25:00,5.62 W/m²
2023-01-05 08:26:00,5.70 W/m²
2023-01-05 08:27:00,5.39 W/m²
2023-01-05 08:28:00,5.23 W/m²
2023-01-05 08:29:00,5.33 W/m²
2023-01-05 08:30:00,6.34 W/m²
2023-01-05 08:31:00,6.90 W/m²
2023-01-05 08:32:00,6.81 W/m²
2023-01-05 08:33:00,5.97 W/m²
2023-01-05 08:34:00,6.06 W/m²
2023-01-05 08:35:00,6.12 W/m²
2023-01-05 08:36:00,6.82 W/m²
2023-01-05 08:37:00,6.96 W/m²
2023-01-05 08:38:00,7.10 W/m²
2023-01-05 08:39:00,7.38 W/m²
2023-01-05 08:40:00,7.94 W/m²
2023-01-05 08:41:00,8.76 W/m²
2023-01-05 08:42:00,9.00 W/m²
2023-01-05 08:43:00,9.83 W/m²
2023-01-05 08:44:00,11.0 W/m²
2023-01-05 08:45:00,12.2 W/m²
2023-01-05 08:46:00,13.9 W/m²
2023-01-05 08:47:00,14.9 W/m²
2023-01-05 08:48:00,15.6 W/m²
2023-01-05 08:49:00,15.0 W/m²
2023-01-05 08:50:00,14.7 W/m²
2023-01-05 08:51:00,14.6 W/m²
2023-01-05 08:52:00,15.9 W/m²
2023-01-05 08:53:00,17.2 W/m²
2023-01-05 08:54:00,19.1 W/m²
2023-01-05 08:55:00,20.8 W/m²
2023-01-05 08:56:00,21.6 W/m²
2023-01-05 08:57:00,22.8 W/m²
2023-01-05 08:58:00,22.8 W/m²
2023-01-05 08:59:00,20.4 W/m²
2023-01-05 09:00:00,15.2 W/m²
2023-01-05 09:01:00,12.3 W/m²
2023-01-05 09:02:00,11.8 W/m²
2023-01-05 09:03:00,11.7 W/m²
2023-01-05 09:04:00,13.3 W/m²
2023-01-05 09:05:00,13.8 W/m²
2023-01-05 09:06:00,12.9 W/m²
2023-01-05 09:07:00,13.5 W/m²
2023-01-05 09:08:00,16.4 W/m²
2023-01-05 09:09:00,20.8 W/m²
2023-01-05 09:10:00,24.6 W/m²
2023-01-05 09:11:00,28.8 W/m²
2023-01-05 09:12:00,37.2 W/m²
2023-01-05 09:13:00,39.9 W/m²
2023-01-05 09:14:00,34.4 W/m²
2023-01-05 09:15:00,22.7 W/m²
2023-01-05 09:16:00,18.1 W/m²
2023-01-05 09:17:00,16.3 W/m²
2023-01-05 09:18:00,16.7 W/m²
2023-01-05 09:19:00,18.3 W/m²
2023-01-05 09:20:00,19.7 W/m²
2023-01-05 09:21:00,20.2 W/m²
2023-01-05 09:22:00,22.4 W/m²
2023-01-05 09:23:00,29.4 W/m²
2023-01-05 09:24:00,40.6 W/m²
2023-01-05 09:25:00,42.0 W/m²
2023-01-05 09:26:00,33.6 W/m²
2023-01-05 09:27:00,32.1 W/m²
2023-01-05 09:28:00,28.9 W/m²
2023-01-05 09:29:00,24.9 W/m²
2023-01-05 09:30:00,22.3 W/m²
2023-01-05 09:31:00,23.6 W/m²
2023-01-05 09:32:00,29.4 W/m²
2023-01-05 09:33:00,32.8 W/m²
2023-01-05 09:34:00,30.0 W/m²
2023-01-05 09:35:00,25.5 W/m²
2023-01-05 09:36:00,24.0 W/m²
2023-01-05 09:37:00,25.7 W/m²
2023-01-05 09:38:00,27.2 W/m²
2023-01-05 09:39:00,29.4 W/m²
2023-01-05 09:40:00,41.3 W/m²
2023-01-05 09:41:00,48.7 W/m²
2023-01-05 09:42:00,38.0 W/m²
2023-01-05 09:43:00,29.4 W/m²
2023-01-05 09:44:00,25.6 W/m²
2023-01-05 09:45:00,24.1 W/m²
2023-01-05 09:46:00,28.3 W/m²
2023-01-05 09:47:00,29.0 W/m²
2023-01-05 09:48:00,33.3 W/m²
2023-01-05 09:49:00,35.1 W/m²
2023-01-05 09:50:00,37.7 W/m²
2023-01-05 09:51:00,40.1 W/m²
2023-01-05 09:52:00,46.7 W/m²
2023-01-05 09:53:00,50.1 W/m²
2023-01-05 09:54:00,33.6 W/m²
2023-01-05 09:55:00,26.5 W/m²
2023-01-05 09:56:00,29.4 W/m²
2023-01-05 09:57:00,35.2 W/m²
2023-01-05 09:58:00,42.3 W/m²
2023-01-05 09:59:00,42.6 W/m²
2023-01-05 10:00:00,45.4 W/m²
2023-01-05 10:01:00,54.0 W/m²
2023-01-05 10:02:00,57.4 W/m²
2023-01-05 10:03:00,54.0 W/m²
2023-01-05 10:04:00,52.0 W/m²
2023-01-05 10:05:00,54.2 W/m²
2023-01-05 10:06:00,57.2 W/m²
2023-01-05 10:07:00,58.4 W/m²
2023-01-05 10:08:00,67.7 W/m²
2023-01-05 10:09:00,79.1 W/m²
2023-01-05 10:10:00,62.7 W/m²
2023-01-05 10:11:00,53.3 W/m²
2023-01-05 10:12:00,67.3 W/m²
2023-01-05 10:13:00,61.7 W/m²
2023-01-05 10:14:00,71.0 W/m²
2023-01-05 10:15:00,59.3 W/m²
2023-01-05 10:16:00,49.6 W/m²
2023-01-05 10:17:00,54.9 W/m²
2023-01-05 10:18:00,59.2 W/m²
2023-01-05 10:19:00,55.0 W/m²
2023-01-05 10:20:00,66.7 W/m²
2023-01-05 10:21:00,71.6 W/m²
2023-01-05 10:22:00,63.0 W/m²
2023-01-05 10:23:00,52.6 W/m²
2023-01-05 10:24:00,41.8 W/m²
2023-01-05 10:25:00,38.0 W/m²
2023-01-05 10:26:00,42.5 W/m²
2023-01-05 10:27:00,40.8 W/m²
2023-01-05 10:28:00,31.3 W/m²
2023-01-05 10:29:00,30.0 W/m²
2023-01-05 10:30:00,35.3 W/m²
2023-01-05 10:31:00,48.5 W/m²
2023-01-05 10:32:00,52.3 W/m²
2023-01-05 10:33:00,41.7 W/m²
2023-01-05 10:34:00,35.2 W/m²
2023-01-05 10:35:00,36.2 W/m²
2023-01-05 10:36:00,37.8 W/m²
2023-01-05 10:37:00,47.6 W/m²
2023-01-05 10:38:00,59.6 W/m²
2023-01-05 10:39:00,63.6 W/m²
2023-01-05 10:40:00,63.7 W/m²
2023-01-05 10:41:00,57.7 W/m²
2023-01-05 10:42:00,52.6 W/m²
2023-01-05 10:43:00,49.3 W/m²
2023-01-05 10:44:00,46.6 W/m²
2023-01-05 10:45:00,45.5 W/m²
2023-01-05 10:46:00,48.7 W/m²
2023-01-05 10:47:00,49.6 W/m²
2023-01-05 10:48:00,65.9 W/m²
2023-01-05 10:49:00,78.2 W/m²
2023-01-05 10:50:00,79.8 W/m²
2023-01-05 10:51:00,78.0 W/m²
2023-01-05 10:52:00,99.5 W/m²
2023-01-05 10:53:00,91.1 W/m²
2023-01-05 10:54:00,94.8 W/m²
2023-01-05 10:55:00,105 W/m²
2023-01-05 10:56:00,110 W/m²
2023-01-05 10:57:00,108 W/m²
2023-01-05 10:58:00,122 W/m²
2023-01-05 10:59:00,128 W/m²
2023-01-05 11:00:00,130 W/m²
2023-01-05 11:01:00,117 W/m²
2023-01-05 11:02:00,103 W/m²
2023-01-05 11:03:00,92.8 W/m²
2023-01-05 11:04:00,92.7 W/m²
2023-01-05 11:05:00,89.0 W/m²
2023-01-05 11:06:00,92.7 W/m²
2023-01-05 11:07:00,92.4 W/m²
2023-01-05 11:08:00,102 W/m²
2023-01-05 11:09:00,124 W/m²
2023-01-05 11:10:00,145 W/m²
2023-01-05 11:11:00,151 W/m²
2023-01-05 11:12:00,172 W/m²
2023-01-05 11:13:00,166 W/m²
2023-01-05 11:14:00,174 W/m²
2023-01-05 11:15:00,171 W/m²
2023-01-05 11:16:00,158 W/m²
2023-01-05 11:17:00,153 W/m²
2023-01-05 11:18:00,154 W/m²
2023-01-05 11:19:00,163 W/m²
2023-01-05 11:20:00,170 W/m²
2023-01-05 11:21:00,181 W/m²
2023-01-05 11:22:00,197 W/m²
2023-01-05 11:23:00,196 W/m²
2023-01-05 11:24:00,188 W/m²
2023-01-05 11:25:00,192 W/m²
2023-01-05 11:26:00,192 W/m²
2023-01-05 11:27:00,163 W/m²
2023-01-05 11:28:00,138 W/m²
2023-01-05 11:29:00,162 W/m²
2023-01-05 11:30:00,157 W/m²
2023-01-05 11:31:00,148 W/m²
2023-01-05 11:32:00,126 W/m²
2023-01-05 11:33:00,134 W/m²
2023-01-05 11:34:00,105 W/m²
2023-01-05 11:35:00,101 W/m²
2023-01-05 11:36:00,161 W/m²
2023-01-05 11:37:00,140 W/m²
2023-01-05 11:38:00,137 W/m²
2023-01-05 11:39:00,132 W/m²
2023-01-05 11:40:00,128 W/m²
2023-01-05 11:41:00,130 W/m²
2023-01-05 11:42:00,135 W/m²
2023-01-05 11:43:00,128 W/m²
2023-01-05 11:44:00,132 W/m²
2023-01-05 11:45:00,215 W/m²
2023-01-05 11:46:00,185 W/m²
2023-01-05 11:47:00,91.6 W/m²
2023-01-05 11:48:00,62.6 W/m²
2023-01-05 11:49:00,45.7 W/m²
2023-01-05 11:50:00,39.6 W/m²
2023-01-05 11:51:00,40.2 W/m²
2023-01-05 11:52:00,39.3 W/m²
2023-01-05 11:53:00,42.3 W/m²
2023-01-05 11:54:00,43.8 W/m²
2023-01-05 11:55:00,87.5 W/m²
2023-01-05 11:56:00,98.1 W/m²
2023-01-05 11:57:00,49.1 W/m²
2023-01-05 11:58:00,64.7 W/m²
2023-01-05 11:59:00,86.8 W/m²
2023-01-05 12:00:00,145 W/m²
2023-01-05 12:01:00,195 W/m²
2023-01-05 12:02:00,222 W/m²
2023-01-05 12:03:00,189 W/m²
2023-01-05 12:04:00,136 W/m²
2023-01-05 12:05:00,96.5 W/m²
2023-01-05 12:06:00,96.7 W/m²
2023-01-05 12:07:00,126 W/m²
2023-01-05 12:08:00,126 W/m²
2023-01-05 12:09:00,96.7 W/m²
2023-01-05 12:10:00,93.0 W/m²
2023-01-05 12:11:00,87.1 W/m²
2023-01-05 12:12:00,85.9 W/m²
2023-01-05 12:13:00,90.5 W/m²
2023-01-05 12:14:00,92.2 W/m²
2023-01-05 12:15:00,84.4 W/m²
2023-01-05 12:16:00,73.3 W/m²
2023-01-05 12:17:00,77.2 W/m²
2023-01-05 12:18:00,88.0 W/m²
2023-01-05 12:19:00,94.1 W/m²
2023-01-05 12:20:00,109 W/m²
2023-01-05 12:21:00,105 W/m²
2023-01-05 12:22:00,91.2 W/m²
2023-01-05 12:23:00,90.7 W/m²
2023-01-05 12:24:00,83.3 W/m²
2023-01-05 12:25:00,94.3 W/m²
2023-01-05 12:26:00,93.7 W/m²
2023-01-05 12:27:00,95.8 W/m²
2023-01-05 12:28:00,102 W/m²
2023-01-05 12:29:00,96.3 W/m²
2023-01-05 12:30:00,97.6 W/m²
2023-01-05 12:31:00,136 W/m²
2023-01-05 12:32:00,154 W/m²
2023-01-05 12:33:00,139 W/m²
2023-01-05 12:34:00,146 W/m²
2023-01-05 12:35:00,123 W/m²
2023-01-05 12:36:00,137 W/m²
2023-01-05 12:37:00,149 W/m²
2023-01-05 12:38:00,148 W/m²
2023-01-05 12:39:00,138 W/m²
2023-01-05 12:40:00,122 W/m²
2023-01-05 12:41:00,98.1 W/m²
2023-01-05 12:42:00,82.6 W/m²
