"Time","GHI"
2022-12-24 09:18:15,28.4 W/m²
2022-12-24 09:18:45,29.3 W/m²
2022-12-24 09:19:15,30.0 W/m²
2022-12-24 09:19:45,30.4 W/m²
2022-12-24 09:20:15,30.6 W/m²
2022-12-24 09:20:45,31.0 W/m²
2022-12-24 09:21:15,31.7 W/m²
2022-12-24 09:21:45,31.6 W/m²
2022-12-24 09:22:15,32.2 W/m²
2022-12-24 09:22:45,31.9 W/m²
2022-12-24 09:23:15,32.2 W/m²
2022-12-24 09:23:45,31.1 W/m²
2022-12-24 09:24:15,30.2 W/m²
2022-12-24 09:24:45,29.8 W/m²
2022-12-24 09:25:15,29.5 W/m²
2022-12-24 09:25:45,29.0 W/m²
2022-12-24 09:26:15,29.8 W/m²
2022-12-24 09:26:45,30.0 W/m²
2022-12-24 09:27:15,30.2 W/m²
2022-12-24 09:27:45,30.6 W/m²
2022-12-24 09:28:15,31.5 W/m²
2022-12-24 09:28:45,32.5 W/m²
2022-12-24 09:29:15,33.4 W/m²
2022-12-24 09:29:45,34.2 W/m²
2022-12-24 09:30:15,34.4 W/m²
2022-12-24 09:30:45,35.2 W/m²
2022-12-24 09:31:15,35.7 W/m²
2022-12-24 09:31:45,37.3 W/m²
2022-12-24 09:32:15,38.7 W/m²
2022-12-24 09:32:45,39.2 W/m²
2022-12-24 09:33:15,39.7 W/m²
2022-12-24 09:33:45,39.7 W/m²
2022-12-24 09:34:15,40.1 W/m²
2022-12-24 09:34:45,40.7 W/m²
2022-12-24 09:35:15,41.7 W/m²
2022-12-24 09:35:45,42.8 W/m²
2022-12-24 09:36:15,43.6 W/m²
2022-12-24 09:36:45,44.7 W/m²
2022-12-24 09:37:15,43.8 W/m²
2022-12-24 09:37:45,43.5 W/m²
2022-12-24 09:38:15,43.1 W/m²
2022-12-24 09:38:45,42.5 W/m²
2022-12-24 09:39:15,43.2 W/m²
2022-12-24 09:39:45,43.3 W/m²
2022-12-24 09:40:15,44.7 W/m²
2022-12-24 09:40:45,44.8 W/m²
2022-12-24 09:41:15,44.2 W/m²
2022-12-24 09:41:45,44.7 W/m²
2022-12-24 09:42:15,44.2 W/m²
2022-12-24 09:42:45,44.5 W/m²
2022-12-24 09:43:15,46.0 W/m²
2022-12-24 09:43:45,48.1 W/m²
2022-12-24 09:44:15,48.8 W/m²
2022-12-24 09:44:45,50.1 W/m²
2022-12-24 09:45:15,51.6 W/m²
2022-12-24 09:45:45,52.6 W/m²
2022-12-24 09:46:15,53.0 W/m²
2022-12-24 09:46:45,52.4 W/m²
2022-12-24 09:47:15,51.4 W/m²
2022-12-24 09:47:45,49.4 W/m²
2022-12-24 09:48:15,46.9 W/m²
2022-12-24 09:48:45,44.7 W/m²
2022-12-24 09:49:15,42.9 W/m²
2022-12-24 09:49:45,41.5 W/m²
2022-12-24 09:50:15,41.3 W/m²
2022-12-24 09:50:45,42.1 W/m²
2022-12-24 09:51:15,42.9 W/m²
2022-12-24 09:51:45,43.5 W/m²
2022-12-24 09:52:15,44.1 W/m²
2022-12-24 09:52:45,44.4 W/m²
2022-12-24 09:53:15,44.7 W/m²
2022-12-24 09:53:45,45.5 W/m²
2022-12-24 09:54:15,45.6 W/m²
2022-12-24 09:54:45,45.9 W/m²
2022-12-24 09:55:15,46.1 W/m²
2022-12-24 09:55:45,45.2 W/m²
2022-12-24 09:56:15,46.3 W/m²
2022-12-24 09:56:45,47.1 W/m²
2022-12-24 09:57:15,47.8 W/m²
2022-12-24 09:57:45,47.3 W/m²
2022-12-24 09:58:15,47.1 W/m²
2022-12-24 09:58:45,47.1 W/m²
2022-12-24 09:59:15,46.4 W/m²
2022-12-24 09:59:45,46.7 W/m²
2022-12-24 10:00:15,46.3 W/m²
2022-12-24 10:00:45,46.5 W/m²
2022-12-24 10:01:15,46.2 W/m²
2022-12-24 10:01:45,46.6 W/m²
2022-12-24 10:02:15,47.3 W/m²
2022-12-24 10:02:45,48.0 W/m²
2022-12-24 10:03:15,49.8 W/m²
2022-12-24 10:03:45,51.5 W/m²
2022-12-24 10:04:15,53.0 W/m²
2022-12-24 10:04:45,54.6 W/m²
2022-12-24 10:05:15,57.0 W/m²
2022-12-24 10:05:45,58.1 W/m²
2022-12-24 10:06:15,57.8 W/m²
2022-12-24 10:06:45,57.8 W/m²
2022-12-24 10:07:15,57.5 W/m²
2022-12-24 10:07:45,56.6 W/m²
2022-12-24 10:08:15,55.6 W/m²
2022-12-24 10:08:45,54.4 W/m²
2022-12-24 10:09:15,54.4 W/m²
