"Time","GHI"
2022-12-22 09:18:15,59.8 W/m²
2022-12-22 09:18:45,62.8 W/m²
2022-12-22 09:19:15,65.5 W/m²
2022-12-22 09:19:45,69.8 W/m²
2022-12-22 09:20:15,74.0 W/m²
2022-12-22 09:21:00,78.9 W/m²
2022-12-22 09:21:15,83.3 W/m²
2022-12-22 09:21:45,86.6 W/m²
2022-12-22 09:22:15,90.1 W/m²
2022-12-22 09:23:00,93.4 W/m²
2022-12-22 09:23:15,95.6 W/m²
2022-12-22 09:24:00,96.9 W/m²
2022-12-22 09:24:15,97.4 W/m²
2022-12-22 09:24:45,98.3 W/m²
2022-12-22 09:25:15,98.0 W/m²
2022-12-22 09:25:45,95.9 W/m²
2022-12-22 09:26:15,93.7 W/m²
2022-12-22 09:26:45,91.0 W/m²
2022-12-22 09:27:15,88.6 W/m²
2022-12-22 09:27:45,86.2 W/m²
2022-12-22 09:28:15,83.6 W/m²
2022-12-22 09:28:45,82.9 W/m²
2022-12-22 09:29:15,81.4 W/m²
2022-12-22 09:29:45,81.3 W/m²
2022-12-22 09:30:15,79.9 W/m²
2022-12-22 09:30:45,77.5 W/m²
2022-12-22 09:31:15,75.7 W/m²
2022-12-22 09:31:45,74.5 W/m²
2022-12-22 09:32:15,73.6 W/m²
2022-12-22 09:33:00,73.0 W/m²
2022-12-22 09:33:15,72.7 W/m²
2022-12-22 09:34:00,71.5 W/m²
2022-12-22 09:34:15,69.1 W/m²
2022-12-22 09:35:00,66.4 W/m²
2022-12-22 09:35:15,65.6 W/m²
2022-12-22 09:36:00,64.9 W/m²
2022-12-22 09:36:15,65.1 W/m²
2022-12-22 09:37:00,65.2 W/m²
2022-12-22 09:37:15,64.7 W/m²
2022-12-22 09:38:00,64.1 W/m²
2022-12-22 09:38:15,63.3 W/m²
2022-12-22 09:39:00,63.3 W/m²
2022-12-22 09:39:15,63.3 W/m²
2022-12-22 09:40:00,65.0 W/m²
2022-12-22 09:40:15,66.5 W/m²
2022-12-22 09:41:00,65.6 W/m²
2022-12-22 09:41:15,64.1 W/m²
2022-12-22 09:42:00,62.2 W/m²
2022-12-22 09:42:15,62.1 W/m²
2022-12-22 09:43:00,63.1 W/m²
2022-12-22 09:43:15,65.1 W/m²
2022-12-22 09:43:45,66.8 W/m²
2022-12-22 09:44:15,69.8 W/m²
