"Time","GHI"
2022-12-29 08:40:00,14.2 W/m²
2022-12-29 08:40:30,13.0 W/m²
2022-12-29 08:41:00,11.4 W/m²
2022-12-29 08:41:30,11.1 W/m²
2022-12-29 08:42:00,10.9 W/m²
2022-12-29 08:42:30,11.1 W/m²
2022-12-29 08:43:00,12.0 W/m²
2022-12-29 08:43:30,12.4 W/m²
2022-12-29 08:44:00,12.8 W/m²
2022-12-29 08:44:30,13.0 W/m²
2022-12-29 08:45:00,13.7 W/m²
2022-12-29 08:45:30,14.4 W/m²
2022-12-29 08:46:00,15.8 W/m²
2022-12-29 08:46:30,17.5 W/m²
2022-12-29 08:47:00,19.2 W/m²
2022-12-29 08:47:30,20.7 W/m²
2022-12-29 08:48:00,21.3 W/m²
2022-12-29 08:48:30,22.1 W/m²
2022-12-29 08:49:00,22.4 W/m²
2022-12-29 08:49:30,23.5 W/m²
2022-12-29 08:50:00,23.9 W/m²
2022-12-29 08:50:30,24.7 W/m²
2022-12-29 08:51:00,26.1 W/m²
2022-12-29 08:51:30,27.2 W/m²
2022-12-29 08:52:00,28.5 W/m²
2022-12-29 08:52:30,29.6 W/m²
2022-12-29 08:53:00,31.2 W/m²
2022-12-29 08:53:30,32.4 W/m²
2022-12-29 08:54:00,33.4 W/m²
2022-12-29 08:54:30,33.2 W/m²
2022-12-29 08:55:00,34.4 W/m²
2022-12-29 08:55:30,35.1 W/m²
2022-12-29 08:56:00,35.6 W/m²
2022-12-29 08:56:30,37.0 W/m²
2022-12-29 08:57:00,37.7 W/m²
2022-12-29 08:57:30,38.5 W/m²
2022-12-29 08:58:00,39.5 W/m²
2022-12-29 08:58:30,40.3 W/m²
2022-12-29 08:59:00,40.5 W/m²
2022-12-29 08:59:30,41.2 W/m²
2022-12-29 09:00:00,42.5 W/m²
2022-12-29 09:00:30,43.7 W/m²
2022-12-29 09:01:00,44.5 W/m²
2022-12-29 09:01:30,43.2 W/m²
2022-12-29 09:02:00,40.8 W/m²
2022-12-29 09:02:30,42.0 W/m²
2022-12-29 09:03:00,44.9 W/m²
2022-12-29 09:03:30,47.3 W/m²
2022-12-29 09:04:00,48.3 W/m²
2022-12-29 09:04:30,49.0 W/m²
2022-12-29 09:05:00,50.2 W/m²
2022-12-29 09:05:30,51.1 W/m²
2022-12-29 09:06:00,52.8 W/m²
2022-12-29 09:06:30,54.4 W/m²
2022-12-29 09:07:00,55.0 W/m²
2022-12-29 09:07:30,55.5 W/m²
2022-12-29 09:08:00,54.6 W/m²
2022-12-29 09:08:30,54.1 W/m²
2022-12-29 09:09:00,53.2 W/m²
2022-12-29 09:09:30,53.3 W/m²
2022-12-29 09:10:00,53.0 W/m²
2022-12-29 09:10:30,53.9 W/m²
2022-12-29 09:11:00,54.1 W/m²
2022-12-29 09:11:30,54.5 W/m²
2022-12-29 09:12:00,51.7 W/m²
2022-12-29 09:12:30,47.2 W/m²
2022-12-29 09:13:00,46.6 W/m²
2022-12-29 09:13:30,47.1 W/m²
2022-12-29 09:14:00,47.1 W/m²
2022-12-29 09:14:30,48.8 W/m²
2022-12-29 09:15:00,50.5 W/m²
2022-12-29 09:15:30,52.5 W/m²
2022-12-29 09:16:00,54.3 W/m²
2022-12-29 09:16:30,56.8 W/m²
2022-12-29 09:17:00,58.5 W/m²
2022-12-29 09:17:30,59.8 W/m²
2022-12-29 09:18:00,59.4 W/m²
2022-12-29 09:18:30,58.3 W/m²
2022-12-29 09:19:00,58.5 W/m²
2022-12-29 09:19:30,60.0 W/m²
2022-12-29 09:20:00,61.0 W/m²
2022-12-29 09:20:30,62.4 W/m²
2022-12-29 09:21:00,62.5 W/m²
2022-12-29 09:21:30,62.2 W/m²
2022-12-29 09:22:00,61.7 W/m²
2022-12-29 09:22:30,62.5 W/m²
2022-12-29 09:23:00,62.1 W/m²
2022-12-29 09:23:30,62.7 W/m²
2022-12-29 09:24:00,61.5 W/m²
2022-12-29 09:24:30,60.4 W/m²
2022-12-29 09:25:00,59.1 W/m²
2022-12-29 09:25:30,56.7 W/m²
2022-12-29 09:26:00,54.5 W/m²
2022-12-29 09:26:30,51.9 W/m²
2022-12-29 09:27:00,50.6 W/m²
2022-12-29 09:27:30,50.6 W/m²
2022-12-29 09:28:00,49.8 W/m²
2022-12-29 09:28:30,49.5 W/m²
2022-12-29 09:29:00,49.7 W/m²
2022-12-29 09:29:30,49.6 W/m²
2022-12-29 09:30:00,49.9 W/m²
2022-12-29 09:30:30,50.6 W/m²
2022-12-29 09:31:00,51.0 W/m²
2022-12-29 09:31:30,52.3 W/m²
2022-12-29 09:32:00,53.3 W/m²
2022-12-29 09:32:30,53.8 W/m²
2022-12-29 09:33:00,55.3 W/m²
2022-12-29 09:33:30,55.0 W/m²
2022-12-29 09:34:00,55.4 W/m²
2022-12-29 09:34:30,55.3 W/m²
2022-12-29 09:35:00,55.7 W/m²
2022-12-29 09:35:30,55.2 W/m²
2022-12-29 09:36:00,55.7 W/m²
2022-12-29 09:36:30,55.2 W/m²
2022-12-29 09:37:00,55.8 W/m²
2022-12-29 09:37:30,56.3 W/m²
2022-12-29 09:38:00,57.0 W/m²
2022-12-29 09:38:30,56.9 W/m²
2022-12-29 09:39:00,58.1 W/m²
2022-12-29 09:39:30,58.5 W/m²
2022-12-29 09:40:00,57.7 W/m²
2022-12-29 09:40:30,57.8 W/m²
2022-12-29 09:41:00,57.4 W/m²
2022-12-29 09:41:30,57.6 W/m²
2022-12-29 09:42:00,57.4 W/m²
2022-12-29 09:42:30,57.0 W/m²
2022-12-29 09:43:00,56.4 W/m²
2022-12-29 09:43:30,56.3 W/m²
2022-12-29 09:44:00,56.4 W/m²
2022-12-29 09:44:30,55.1 W/m²
2022-12-29 09:45:30,53.8 W/m²
2022-12-29 09:46:30,53.3 W/m²
2022-12-29 09:47:00,51.7 W/m²
2022-12-29 09:47:30,51.2 W/m²
2022-12-29 09:48:00,50.9 W/m²
2022-12-29 09:48:30,50.0 W/m²
2022-12-29 09:49:00,50.2 W/m²
2022-12-29 09:49:30,49.9 W/m²
2022-12-29 09:50:00,49.2 W/m²
2022-12-29 09:50:30,49.4 W/m²
2022-12-29 09:51:00,48.9 W/m²
2022-12-29 09:51:30,49.0 W/m²
2022-12-29 09:52:00,47.9 W/m²
2022-12-29 09:52:30,47.8 W/m²
2022-12-29 09:53:00,48.2 W/m²
2022-12-29 09:53:30,47.1 W/m²
2022-12-29 09:54:00,47.5 W/m²
2022-12-29 09:54:30,46.8 W/m²
2022-12-29 09:55:00,46.8 W/m²
2022-12-29 09:55:30,46.9 W/m²
2022-12-29 09:56:00,46.7 W/m²
2022-12-29 09:56:30,46.8 W/m²
2022-12-29 09:57:00,47.2 W/m²
2022-12-29 09:57:30,47.5 W/m²
2022-12-29 09:58:00,46.8 W/m²
2022-12-29 09:58:30,47.1 W/m²
2022-12-29 09:59:00,47.1 W/m²
2022-12-29 09:59:30,46.0 W/m²
2022-12-29 10:00:00,45.9 W/m²
2022-12-29 10:00:30,46.1 W/m²
2022-12-29 10:01:00,44.8 W/m²
2022-12-29 10:01:30,45.2 W/m²
2022-12-29 10:02:00,43.5 W/m²
2022-12-29 10:02:30,43.5 W/m²
2022-12-29 10:03:00,41.7 W/m²
2022-12-29 10:03:30,40.3 W/m²
2022-12-29 10:04:00,39.6 W/m²
2022-12-29 10:04:30,39.4 W/m²
2022-12-29 10:05:00,39.4 W/m²
2022-12-29 10:05:30,38.4 W/m²
2022-12-29 10:06:00,38.2 W/m²
2022-12-29 10:06:30,37.9 W/m²
2022-12-29 10:07:00,36.6 W/m²
2022-12-29 10:07:30,36.5 W/m²
2022-12-29 10:08:00,36.6 W/m²
2022-12-29 10:08:30,35.9 W/m²
2022-12-29 10:09:00,35.8 W/m²
2022-12-29 10:09:30,36.3 W/m²
2022-12-29 10:10:00,36.0 W/m²
2022-12-29 10:10:30,36.1 W/m²
2022-12-29 10:11:00,35.2 W/m²
2022-12-29 10:11:30,34.9 W/m²
2022-12-29 10:12:00,35.1 W/m²
2022-12-29 10:12:30,35.2 W/m²
2022-12-29 10:13:00,34.9 W/m²
2022-12-29 10:13:30,34.3 W/m²
2022-12-29 10:14:00,33.7 W/m²
2022-12-29 10:14:30,33.9 W/m²
2022-12-29 10:15:30,33.5 W/m²
2022-12-29 10:16:30,34.8 W/m²
2022-12-29 10:17:30,35.3 W/m²
2022-12-29 10:18:30,35.7 W/m²
2022-12-29 10:19:30,38.3 W/m²
2022-12-29 10:20:30,37.9 W/m²
2022-12-29 10:21:30,41.8 W/m²
2022-12-29 10:22:30,42.9 W/m²
2022-12-29 10:23:00,42.5 W/m²
2022-12-29 10:23:30,42.5 W/m²
2022-12-29 10:24:30,41.8 W/m²
2022-12-29 10:25:00,42.5 W/m²
2022-12-29 10:25:30,42.9 W/m²
2022-12-29 10:26:00,43.4 W/m²
2022-12-29 10:26:30,43.9 W/m²
2022-12-29 10:27:00,44.2 W/m²
2022-12-29 10:27:30,44.9 W/m²
2022-12-29 10:28:30,43.9 W/m²
2022-12-29 10:29:00,44.1 W/m²
2022-12-29 10:29:30,43.2 W/m²
2022-12-29 10:30:00,43.4 W/m²
2022-12-29 10:30:30,43.0 W/m²
2022-12-29 10:31:00,43.3 W/m²
2022-12-29 10:31:30,43.5 W/m²
2022-12-29 10:32:00,43.8 W/m²
2022-12-29 10:32:30,44.8 W/m²
2022-12-29 10:33:00,45.1 W/m²
2022-12-29 10:33:30,45.2 W/m²
2022-12-29 10:34:00,45.3 W/m²
2022-12-29 10:34:30,46.5 W/m²
2022-12-29 10:35:00,47.2 W/m²
2022-12-29 10:35:30,46.6 W/m²
2022-12-29 10:36:00,47.2 W/m²
2022-12-29 10:36:30,47.4 W/m²
2022-12-29 10:37:00,47.6 W/m²
2022-12-29 10:37:30,48.4 W/m²
2022-12-29 10:38:00,49.5 W/m²
2022-12-29 10:38:30,55.0 W/m²
2022-12-29 10:39:00,56.4 W/m²
2022-12-29 10:39:30,52.4 W/m²
2022-12-29 10:40:00,50.5 W/m²
2022-12-29 10:40:30,50.5 W/m²
2022-12-29 10:41:00,50.9 W/m²
2022-12-29 10:41:30,50.5 W/m²
2022-12-29 10:42:00,50.3 W/m²
2022-12-29 10:42:30,50.2 W/m²
2022-12-29 10:43:00,50.9 W/m²
2022-12-29 10:43:30,50.9 W/m²
2022-12-29 10:44:00,51.7 W/m²
2022-12-29 10:44:30,52.4 W/m²
2022-12-29 10:45:00,54.0 W/m²
2022-12-29 10:45:30,55.3 W/m²
2022-12-29 10:46:00,58.1 W/m²
2022-12-29 10:46:30,60.2 W/m²
2022-12-29 10:47:30,64.2 W/m²
2022-12-29 10:48:00,67.8 W/m²
2022-12-29 10:48:30,67.4 W/m²
2022-12-29 10:49:30,66.8 W/m²
2022-12-29 10:50:00,66.5 W/m²
2022-12-29 10:50:30,65.7 W/m²
2022-12-29 10:51:00,64.7 W/m²
2022-12-29 10:51:30,65.8 W/m²
2022-12-29 10:52:30,64.1 W/m²
2022-12-29 10:53:30,61.7 W/m²
2022-12-29 10:54:30,59.9 W/m²
2022-12-29 10:55:00,58.7 W/m²
2022-12-29 10:55:30,58.0 W/m²
2022-12-29 10:56:30,58.2 W/m²
2022-12-29 10:57:00,56.9 W/m²
2022-12-29 10:57:30,55.8 W/m²
2022-12-29 10:58:00,55.2 W/m²
2022-12-29 10:58:30,58.4 W/m²
2022-12-29 10:59:00,57.0 W/m²
2022-12-29 10:59:30,54.9 W/m²
2022-12-29 11:00:00,55.3 W/m²
2022-12-29 11:00:30,54.8 W/m²
2022-12-29 11:01:30,53.5 W/m²
2022-12-29 11:02:00,53.0 W/m²
2022-12-29 11:02:30,52.0 W/m²
2022-12-29 11:03:00,51.3 W/m²
2022-12-29 11:03:30,50.9 W/m²
2022-12-29 11:04:30,49.3 W/m²
2022-12-29 11:05:00,49.3 W/m²
2022-12-29 11:05:30,50.9 W/m²
2022-12-29 11:06:00,49.3 W/m²
2022-12-29 11:06:30,51.0 W/m²
2022-12-29 11:07:30,52.1 W/m²
2022-12-29 11:08:30,49.9 W/m²
2022-12-29 11:09:30,50.2 W/m²
2022-12-29 11:10:30,46.8 W/m²
2022-12-29 11:11:30,49.3 W/m²
2022-12-29 11:12:00,48.6 W/m²
2022-12-29 11:12:30,48.2 W/m²
2022-12-29 11:13:00,49.1 W/m²
2022-12-29 11:13:30,63.4 W/m²
2022-12-29 11:14:30,75.5 W/m²
2022-12-29 11:15:30,59.5 W/m²
2022-12-29 11:16:00,67.9 W/m²
2022-12-29 11:16:30,64.0 W/m²
2022-12-29 11:17:30,86.2 W/m²
2022-12-29 11:18:00,66.6 W/m²
2022-12-29 11:18:30,49.2 W/m²
2022-12-29 11:19:30,60.6 W/m²
2022-12-29 11:20:30,58.7 W/m²
2022-12-29 11:21:30,53.8 W/m²
2022-12-29 11:22:30,52.3 W/m²
2022-12-29 11:23:30,64.2 W/m²
2022-12-29 11:24:00,77.1 W/m²
2022-12-29 11:24:30,81.5 W/m²
2022-12-29 11:25:00,84.9 W/m²
2022-12-29 11:25:30,78.6 W/m²
2022-12-29 11:26:00,81.8 W/m²
2022-12-29 11:26:30,82.1 W/m²
2022-12-29 11:27:00,70.8 W/m²
2022-12-29 11:27:30,52.1 W/m²
2022-12-29 11:28:30,63.4 W/m²
2022-12-29 11:29:30,47.6 W/m²
2022-12-29 11:30:30,76.8 W/m²
2022-12-29 11:31:00,79.0 W/m²
2022-12-29 11:31:30,79.4 W/m²
2022-12-29 11:32:00,74.4 W/m²
2022-12-29 11:32:30,69.6 W/m²
2022-12-29 11:33:00,50.3 W/m²
2022-12-29 11:33:30,43.8 W/m²
2022-12-29 11:34:00,47.4 W/m²
2022-12-29 11:34:30,41.9 W/m²
2022-12-29 11:35:00,50.9 W/m²
