"Time","GHI"
2022-12-19 09:18:15,48.7 W/m²
2022-12-19 09:18:45,48.5 W/m²
2022-12-19 09:19:15,49.1 W/m²
2022-12-19 09:19:45,49.2 W/m²
2022-12-19 09:20:15,49.2 W/m²
2022-12-19 09:20:45,49.9 W/m²
2022-12-19 09:21:15,49.5 W/m²
2022-12-19 09:21:45,49.2 W/m²
2022-12-19 09:22:15,50.1 W/m²
2022-12-19 09:22:45,49.7 W/m²
2022-12-19 09:23:15,49.5 W/m²
2022-12-19 09:23:45,49.5 W/m²
2022-12-19 09:24:15,49.4 W/m²
2022-12-19 09:24:45,49.4 W/m²
2022-12-19 09:25:15,49.8 W/m²
2022-12-19 09:25:45,49.4 W/m²
2022-12-19 09:26:15,50.1 W/m²
2022-12-19 09:26:45,50.5 W/m²
2022-12-19 09:27:15,51.0 W/m²
2022-12-19 09:27:45,51.1 W/m²
2022-12-19 09:28:15,51.9 W/m²
2022-12-19 09:28:45,52.3 W/m²
2022-12-19 09:29:15,53.4 W/m²
2022-12-19 09:29:45,53.9 W/m²
2022-12-19 09:30:15,53.7 W/m²
2022-12-19 09:30:45,55.1 W/m²
2022-12-19 09:31:15,55.1 W/m²
2022-12-19 09:31:45,56.2 W/m²
2022-12-19 09:32:15,55.8 W/m²
2022-12-19 09:32:45,56.7 W/m²
2022-12-19 09:33:15,56.8 W/m²
2022-12-19 09:33:45,56.8 W/m²
2022-12-19 09:34:15,57.4 W/m²
2022-12-19 09:34:45,57.4 W/m²
2022-12-19 09:35:15,57.4 W/m²
2022-12-19 09:35:45,57.3 W/m²
2022-12-19 09:36:15,58.0 W/m²
2022-12-19 09:36:45,57.8 W/m²
2022-12-19 09:37:15,58.0 W/m²
2022-12-19 09:37:45,58.4 W/m²
2022-12-19 09:38:15,58.4 W/m²
2022-12-19 09:38:45,59.0 W/m²
2022-12-19 09:39:15,59.2 W/m²
2022-12-19 09:39:45,59.5 W/m²
2022-12-19 09:40:15,59.7 W/m²
2022-12-19 09:40:45,60.3 W/m²
2022-12-19 09:41:15,60.8 W/m²
2022-12-19 09:41:45,60.9 W/m²
2022-12-19 09:42:15,61.4 W/m²
2022-12-19 09:42:45,61.9 W/m²
2022-12-19 09:43:15,62.5 W/m²
2022-12-19 09:43:45,63.0 W/m²
2022-12-19 09:44:15,63.5 W/m²
2022-12-19 09:44:45,63.9 W/m²
2022-12-19 09:45:15,64.9 W/m²
2022-12-19 09:45:45,65.6 W/m²
2022-12-19 09:46:15,66.2 W/m²
2022-12-19 09:46:45,67.7 W/m²
2022-12-19 09:47:15,68.6 W/m²
2022-12-19 09:47:45,69.5 W/m²
2022-12-19 09:48:15,70.6 W/m²
2022-12-19 09:48:45,71.1 W/m²
2022-12-19 09:49:15,72.3 W/m²
2022-12-19 09:49:45,72.7 W/m²
2022-12-19 09:50:15,74.3 W/m²
2022-12-19 09:50:45,74.6 W/m²
2022-12-19 09:51:15,75.3 W/m²
2022-12-19 09:51:45,75.2 W/m²
2022-12-19 09:52:15,75.6 W/m²
2022-12-19 09:52:45,75.6 W/m²
2022-12-19 09:53:15,76.1 W/m²
2022-12-19 09:53:45,76.3 W/m²
2022-12-19 09:54:15,77.2 W/m²
2022-12-19 09:54:45,77.5 W/m²
2022-12-19 09:55:15,78.3 W/m²
2022-12-19 09:55:45,78.8 W/m²
2022-12-19 09:56:15,80.0 W/m²
2022-12-19 09:56:45,81.0 W/m²
2022-12-19 09:57:15,81.3 W/m²
2022-12-19 09:57:45,82.3 W/m²
2022-12-19 09:58:15,82.8 W/m²
2022-12-19 09:58:45,83.1 W/m²
2022-12-19 09:59:15,84.7 W/m²
2022-12-19 09:59:45,85.3 W/m²
2022-12-19 10:00:15,85.9 W/m²
2022-12-19 10:00:45,86.7 W/m²
2022-12-19 10:01:15,87.1 W/m²
2022-12-19 10:01:45,87.7 W/m²
2022-12-19 10:02:15,88.1 W/m²
2022-12-19 10:02:45,88.3 W/m²
2022-12-19 10:03:15,88.5 W/m²
2022-12-19 10:03:45,88.6 W/m²
2022-12-19 10:04:15,88.5 W/m²
2022-12-19 10:04:45,88.8 W/m²
2022-12-19 10:05:15,89.0 W/m²
2022-12-19 10:05:45,89.3 W/m²
2022-12-19 10:06:15,89.7 W/m²
2022-12-19 10:06:45,90.2 W/m²
2022-12-19 10:07:15,91.1 W/m²
2022-12-19 10:07:45,91.5 W/m²
2022-12-19 10:08:15,92.1 W/m²
2022-12-19 10:08:45,93.0 W/m²
2022-12-19 10:09:15,93.4 W/m²
2022-12-19 10:09:45,93.9 W/m²
2022-12-19 10:10:15,94.0 W/m²
2022-12-19 10:10:45,94.3 W/m²
2022-12-19 10:11:15,94.2 W/m²
2022-12-19 10:11:45,94.3 W/m²
2022-12-19 10:12:15,94.4 W/m²
2022-12-19 10:12:45,94.5 W/m²
2022-12-19 10:13:15,94.7 W/m²
2022-12-19 10:13:45,94.5 W/m²
2022-12-19 10:14:15,94.9 W/m²
2022-12-19 10:14:45,95.1 W/m²
2022-12-19 10:15:15,95.3 W/m²
2022-12-19 10:15:45,95.1 W/m²
2022-12-19 10:16:15,95.5 W/m²
2022-12-19 10:16:45,95.7 W/m²
2022-12-19 10:17:15,96.4 W/m²
2022-12-19 10:17:45,96.8 W/m²
2022-12-19 10:18:15,98.1 W/m²
2022-12-19 10:18:45,99.2 W/m²
2022-12-19 10:19:15,99.7 W/m²
2022-12-19 10:19:45,100 W/m²
2022-12-19 10:20:15,101 W/m²
2022-12-19 10:20:45,101 W/m²
2022-12-19 10:21:15,102 W/m²
2022-12-19 10:21:45,102 W/m²
2022-12-19 10:22:15,102 W/m²
2022-12-19 10:22:45,102 W/m²
2022-12-19 10:23:15,102 W/m²
2022-12-19 10:23:45,101 W/m²
2022-12-19 10:24:15,101 W/m²
2022-12-19 10:24:45,101 W/m²
2022-12-19 10:25:15,101 W/m²
2022-12-19 10:25:45,101 W/m²
2022-12-19 10:26:15,101 W/m²
2022-12-19 10:26:45,101 W/m²
2022-12-19 10:27:15,101 W/m²
2022-12-19 10:27:45,101 W/m²
2022-12-19 10:28:15,102 W/m²
2022-12-19 10:28:45,102 W/m²
2022-12-19 10:29:15,103 W/m²
2022-12-19 10:29:45,103 W/m²
2022-12-19 10:30:15,104 W/m²
2022-12-19 10:30:45,104 W/m²
2022-12-19 10:31:15,105 W/m²
2022-12-19 10:31:45,106 W/m²
2022-12-19 10:32:15,106 W/m²
2022-12-19 10:32:45,107 W/m²
2022-12-19 10:33:15,107 W/m²
2022-12-19 10:33:45,108 W/m²
2022-12-19 10:34:15,108 W/m²
2022-12-19 10:34:45,109 W/m²
2022-12-19 10:35:15,108 W/m²
2022-12-19 10:35:45,108 W/m²
2022-12-19 10:36:15,108 W/m²
