"Time","GHI"
2022-12-27 08:21:00,7.52 W/m²
2022-12-27 08:22:00,8.35 W/m²
2022-12-27 08:23:00,8.78 W/m²
2022-12-27 08:24:00,9.30 W/m²
2022-12-27 08:25:00,9.95 W/m²
2022-12-27 08:26:00,9.86 W/m²
2022-12-27 08:27:00,10.2 W/m²
2022-12-27 08:28:00,11.5 W/m²
2022-12-27 08:29:00,11.8 W/m²
2022-12-27 08:30:00,12.1 W/m²
2022-12-27 08:31:00,13.1 W/m²
2022-12-27 08:32:00,15.7 W/m²
2022-12-27 08:33:00,16.1 W/m²
2022-12-27 08:34:00,16.5 W/m²
2022-12-27 08:35:00,16.1 W/m²
2022-12-27 08:36:00,15.2 W/m²
2022-12-27 08:37:00,14.8 W/m²
2022-12-27 08:38:00,14.9 W/m²
2022-12-27 08:39:00,14.3 W/m²
2022-12-27 08:40:00,15.7 W/m²
2022-12-27 08:41:00,18.5 W/m²
2022-12-27 08:42:00,19.9 W/m²
2022-12-27 08:43:00,21.4 W/m²
2022-12-27 08:44:00,23.4 W/m²
2022-12-27 08:45:00,25.1 W/m²
2022-12-27 08:46:00,22.8 W/m²
2022-12-27 08:47:00,21.9 W/m²
2022-12-27 08:48:00,20.2 W/m²
2022-12-27 08:49:00,19.1 W/m²
2022-12-27 08:50:00,18.4 W/m²
2022-12-27 08:51:00,18.5 W/m²
2022-12-27 08:52:00,20.7 W/m²
2022-12-27 08:53:00,24.5 W/m²
2022-12-27 08:54:00,27.6 W/m²
2022-12-27 08:55:00,35.6 W/m²
2022-12-27 08:56:00,45.3 W/m²
2022-12-27 08:57:00,45.6 W/m²
2022-12-27 08:58:00,42.7 W/m²
2022-12-27 08:59:00,37.9 W/m²
2022-12-27 09:00:00,33.9 W/m²
2022-12-27 09:01:00,29.9 W/m²
2022-12-27 09:02:00,32.0 W/m²
2022-12-27 09:03:00,34.9 W/m²
2022-12-27 09:04:00,37.0 W/m²
2022-12-27 09:05:00,36.4 W/m²
2022-12-27 09:06:00,36.0 W/m²
2022-12-27 09:07:00,36.4 W/m²
2022-12-27 09:08:00,38.8 W/m²
2022-12-27 09:09:00,39.9 W/m²
2022-12-27 09:10:00,38.7 W/m²
2022-12-27 09:11:00,37.2 W/m²
2022-12-27 09:12:00,34.4 W/m²
2022-12-27 09:13:00,32.1 W/m²
2022-12-27 09:14:00,32.5 W/m²
2022-12-27 09:15:00,35.2 W/m²
2022-12-27 09:16:00,37.6 W/m²
2022-12-27 09:17:00,35.4 W/m²
2022-12-27 09:18:00,37.0 W/m²
2022-12-27 09:19:00,37.5 W/m²
2022-12-27 09:20:00,32.8 W/m²
2022-12-27 09:21:00,31.1 W/m²
2022-12-27 09:22:00,34.8 W/m²
2022-12-27 09:23:00,41.6 W/m²
2022-12-27 09:24:00,45.1 W/m²
2022-12-27 09:25:00,52.8 W/m²
2022-12-27 09:26:00,56.4 W/m²
2022-12-27 09:27:00,58.2 W/m²
2022-12-27 09:28:00,60.3 W/m²
2022-12-27 09:29:00,56.5 W/m²
2022-12-27 09:30:00,52.6 W/m²
2022-12-27 09:31:00,51.0 W/m²
2022-12-27 09:32:00,50.7 W/m²
2022-12-27 09:33:00,51.2 W/m²
2022-12-27 09:34:00,50.4 W/m²
2022-12-27 09:35:00,49.6 W/m²
2022-12-27 09:36:00,53.1 W/m²
2022-12-27 09:37:00,47.0 W/m²
2022-12-27 09:38:00,42.7 W/m²
2022-12-27 09:39:00,40.7 W/m²
2022-12-27 09:40:00,41.8 W/m²
2022-12-27 09:41:00,40.9 W/m²
2022-12-27 09:42:00,38.5 W/m²
2022-12-27 09:43:00,39.2 W/m²
2022-12-27 09:44:00,41.7 W/m²
2022-12-27 09:45:00,41.9 W/m²
2022-12-27 09:46:00,40.8 W/m²
2022-12-27 09:47:00,40.5 W/m²
2022-12-27 09:48:00,38.4 W/m²
2022-12-27 09:49:00,37.2 W/m²
2022-12-27 09:50:00,42.1 W/m²
2022-12-27 09:51:00,45.0 W/m²
2022-12-27 09:52:00,43.5 W/m²
2022-12-27 09:53:00,38.7 W/m²
2022-12-27 09:54:00,36.5 W/m²
2022-12-27 09:55:00,38.9 W/m²
2022-12-27 09:56:00,40.3 W/m²
2022-12-27 09:57:00,40.0 W/m²
