"Time","GHI"
2022-12-28 08:21:00,4.83 W/m²
2022-12-28 08:22:00,5.06 W/m²
2022-12-28 08:23:00,5.37 W/m²
2022-12-28 08:24:00,5.74 W/m²
2022-12-28 08:25:00,5.79 W/m²
2022-12-28 08:26:00,5.95 W/m²
2022-12-28 08:27:00,6.18 W/m²
2022-12-28 08:28:00,6.46 W/m²
2022-12-28 08:29:00,7.03 W/m²
2022-12-28 08:30:00,7.42 W/m²
2022-12-28 08:31:00,7.81 W/m²
2022-12-28 08:32:00,7.48 W/m²
2022-12-28 08:33:00,7.45 W/m²
2022-12-28 08:34:00,7.40 W/m²
2022-12-28 08:35:00,7.84 W/m²
2022-12-28 08:36:00,7.85 W/m²
2022-12-28 08:37:00,8.17 W/m²
2022-12-28 08:38:00,7.98 W/m²
2022-12-28 08:39:00,8.45 W/m²
2022-12-28 08:40:00,8.56 W/m²
2022-12-28 08:41:00,8.77 W/m²
2022-12-28 08:42:00,9.17 W/m²
2022-12-28 08:43:00,9.81 W/m²
2022-12-28 08:44:00,10.7 W/m²
2022-12-28 08:45:00,11.5 W/m²
2022-12-28 08:46:00,12.2 W/m²
2022-12-28 08:47:00,13.5 W/m²
2022-12-28 08:48:00,14.9 W/m²
2022-12-28 08:49:00,15.9 W/m²
2022-12-28 08:50:00,16.5 W/m²
2022-12-28 08:51:00,16.7 W/m²
2022-12-28 08:52:00,16.6 W/m²
2022-12-28 08:53:00,16.4 W/m²
2022-12-28 08:54:00,16.9 W/m²
2022-12-28 08:55:00,17.6 W/m²
2022-12-28 08:56:00,17.9 W/m²
2022-12-28 08:57:00,18.4 W/m²
2022-12-28 08:58:00,18.9 W/m²
2022-12-28 08:59:00,18.8 W/m²
2022-12-28 09:00:00,18.4 W/m²
2022-12-28 09:01:00,17.4 W/m²
2022-12-28 09:02:00,15.8 W/m²
2022-12-28 09:03:00,14.6 W/m²
2022-12-28 09:04:00,13.8 W/m²
2022-12-28 09:05:00,13.6 W/m²
2022-12-28 09:06:00,13.0 W/m²
2022-12-28 09:07:00,12.7 W/m²
2022-12-28 09:08:00,12.7 W/m²
2022-12-28 09:09:00,12.5 W/m²
2022-12-28 09:10:00,12.4 W/m²
2022-12-28 09:11:00,12.4 W/m²
