"Time","Lux4 Regression","Lux7 Regression","Lux1 Regression","Lux2 Regression","Lux6 Regression","Lux3 Regression","Lux8 Regression","Lux5 Regression","Lux0 Regression"
2022-12-22 08:50:15,4440,4250,5504,5129,4255,4641,4262,4319,400
2022-12-22 08:50:45,4485,4283,5516,5178,4286,4685,4296,4344,400
2022-12-22 08:51:15,4499,4296,5562,5168,4299,4706,4310,4356,400
2022-12-22 08:51:45,4498,4304,5607,5151,4313,4736,4319,4364,400
2022-12-22 08:52:15,4470,4296,5650,5134,4305,4694,4310,4355,400
2022-12-22 08:52:45,4482,4300,5680,5146,4308,4691,4313,4358,400
2022-12-22 08:53:15,4491,4318,5727,5142,4325,4720,4333,4371,400
2022-12-22 08:53:45,4515,4355,5861,5129,4358,4757,4371,4410,400
2022-12-22 08:54:15,4591,4409,5975,5117,4417,4841,4425,4468,400
2022-12-22 08:54:45,4648,4465,6101,5122,4469,4889,4483,4519,400
2022-12-22 08:55:15,4724,4547,6198,5193,4549,4964,4565,4599,400
2022-12-22 08:55:45,4835,4655,6257,5279,4652,5099,4674,4701,400
2022-12-22 08:56:15,4949,4786,6330,5432,4782,5183,4807,4823,400
2022-12-22 08:56:45,5099,4935,6451,5636,4933,5297,4958,4976,400
2022-12-22 08:57:15,5242,5088,6599,5813,5090,5457,5111,5124,400
2022-12-22 08:57:45,5407,5249,6708,5985,5249,5600,5267,5289,400
2022-12-22 08:58:15,5533,5387,6772,6221,5395,5729,5391,5429,400
2022-12-22 08:58:45,5657,5487,6841,6385,5505,5838,5483,5544,400
2022-12-22 08:59:15,5720,5556,6884,6518,5579,5935,5544,5608,400
2022-12-22 08:59:45,5732,5560,6874,6547,5590,5965,5548,5632,400
2022-12-22 09:00:15,5668,5504,6860,6484,5536,5948,5486,5574,400
2022-12-22 09:00:45,5608,5430,6822,6343,5463,5871,5412,5508,400
2022-12-22 09:01:15,5549,5372,6814,6314,5398,5788,5360,5442,400
2022-12-22 09:01:45,5457,5316,6775,6250,5323,5696,5307,5365,400
2022-12-22 09:02:15,5469,5291,6733,6199,5295,5692,5293,5338,400
2022-12-22 09:02:45,5419,5271,6709,6142,5269,5659,5274,5311,400
2022-12-22 09:03:15,5427,5271,6675,6139,5267,5642,5275,5308,400
2022-12-22 09:03:45,5430,5280,6654,6130,5276,5661,5284,5317,400
2022-12-22 09:04:15,5413,5263,6626,6091,5256,5625,5270,5298,400
2022-12-22 09:04:45,5378,5225,6613,6031,5220,5580,5234,5262,400
2022-12-22 09:05:15,5351,5192,6608,6026,5187,5562,5202,5227,400
2022-12-22 09:05:45,5322,5155,6635,6011,5154,5531,5166,5194,400
2022-12-22 09:06:15,5305,5144,6642,6001,5141,5546,5156,5185,400
2022-12-22 09:06:45,5298,5145,6646,5968,5143,5538,5158,5180,400
2022-12-22 09:07:15,5310,5147,6626,6012,5147,5522,5161,5187,400
2022-12-22 09:07:45,5311,5157,6550,6078,5158,5533,5171,5197,400
2022-12-22 09:08:15,5341,5182,6544,6109,5180,5526,5196,5219,400
2022-12-22 09:08:45,5372,5228,6538,6076,5224,5577,5243,5263,400
2022-12-22 09:09:15,5453,5306,6586,6096,5297,5656,5320,5336,400
2022-12-22 09:09:45,5533,5389,6641,6148,5379,5728,5404,5421,400
2022-12-22 09:10:15,5607,5466,6694,6212,5456,5783,5478,5490,400
2022-12-22 09:10:45,5667,5536,6774,6272,5522,5850,5544,5556,400
2022-12-22 09:11:15,5718,5595,6860,6352,5578,5928,5599,5612,400
