"Time","Lux4 Regression","Lux3 Regression","Lux1 Regression","Lux5 Regression","Lux6 Regression","Lux7 Regression","Lux2 Regression","Lux8 Regression","Lux0 Regression"
2023-01-01 08:21:00,2916,3312,4364,2853,2781,2743,3424,2694,400
2023-01-01 08:22:00,3148,3545,4477,3060,2978,2931,3566,2867,400
2023-01-01 08:23:00,3396,3757,4602,3264,3193,3125,3732,3046,400
2023-01-01 08:24:00,3632,3972,4757,3468,3396,3320,3905,3229,400
2023-01-01 08:25:00,3829,4154,4899,3674,3589,3507,4068,3405,400
2023-01-01 08:26:00,4022,4297,5039,3889,3783,3692,4260,3581,400
2023-01-01 08:27:00,4240,4466,5195,4115,3995,3890,4499,3769,400
2023-01-01 08:28:00,4463,4657,5378,4336,4211,4096,4794,3965,400
2023-01-01 08:29:00,4691,4844,5557,4540,4412,4294,5143,4153,400
2023-01-01 08:30:00,4910,5031,5739,4743,4615,4483,5473,4332,400
2023-01-01 08:31:00,5134,5256,5922,4960,4823,4677,5783,4507,400
2023-01-01 08:32:00,5373,5529,6128,5206,5039,4884,6121,4692,400
2023-01-01 08:33:00,5605,5804,6337,5429,5254,5086,6458,4870,400
2023-01-01 08:34:00,5816,6048,6530,5624,5445,5263,6742,5023,400
2023-01-01 08:35:00,6055,6306,6761,5847,5656,5456,7051,5191,400
2023-01-01 08:36:00,6272,6537,6993,6047,5850,5629,7330,5345,400
2023-01-01 08:37:00,6492,6773,7233,6250,6034,5797,7581,5496,400
2023-01-01 08:38:00,6690,7003,7471,6437,6210,5954,7799,5639,400
2023-01-01 08:39:00,6887,7223,7714,6612,6381,6109,7997,5777,400
2023-01-01 08:40:00,7071,7413,7984,6792,6543,6258,8168,5913,400
2023-01-01 08:41:00,7242,7585,8290,6961,6693,6401,8323,6042,400
2023-01-01 08:42:00,7392,7753,8591,7105,6833,6533,8458,6164,400
2023-01-01 08:43:00,7532,7915,8783,7251,6964,6660,8599,6285,400
2023-01-01 08:44:00,7668,8057,8924,7371,7084,6777,8746,6396,400
2023-01-01 08:45:00,7770,8165,9052,7477,7190,6881,8847,6497,400
2023-01-01 08:46:00,7869,8258,9148,7577,7285,6978,8916,6592,400
2023-01-01 08:47:00,7955,8309,9272,7659,7366,7068,8973,6680,400
2023-01-01 08:48:00,8005,8345,9390,7718,7431,7144,9002,6757,400
2023-01-01 08:49:00,8025,8343,9444,7741,7467,7192,9000,6812,400
2023-01-01 08:50:00,7982,8264,9422,7703,7450,7195,8909,6826,400
2023-01-01 08:51:00,7903,8145,9368,7632,7410,7175,8772,6823,400
2023-01-01 08:52:00,7807,8050,9326,7567,7371,7158,8620,6825,400
2023-01-01 08:53:00,7737,7986,9257,7511,7340,7150,8488,6835,400
2023-01-01 08:54:00,7705,7949,9190,7489,7337,7167,8411,6860,400
2023-01-01 08:55:00,7713,7921,9182,7514,7374,7220,8422,6909,400
2023-01-01 08:56:00,7782,7971,9266,7596,7476,7331,8530,6993,400
2023-01-01 08:57:00,7874,8063,9405,7715,7607,7472,8633,7095,400
2023-01-01 08:58:00,8004,8197,9571,7868,7770,7640,8743,7222,400
2023-01-01 08:59:00,8158,8371,9798,8034,7947,7811,8884,7358,400
2023-01-01 09:00:00,8362,8581,10065,8247,8164,8000,9080,7512,400
2023-01-01 09:01:00,8586,8836,10294,8465,8372,8183,9259,7656,400
2023-01-01 09:02:00,8782,9069,10505,8660,8555,8346,9404,7779,400
2023-01-01 09:03:00,8991,9291,10709,8869,8743,8510,9590,7904,400
2023-01-01 09:04:00,9146,9436,10849,9015,8898,8633,9755,7994,400
2023-01-01 09:05:00,9321,9581,10964,9186,9066,8768,10001,8091,400
2023-01-01 09:06:00,9504,9716,11083,9381,9248,8915,10298,8203,400
2023-01-01 09:07:00,9718,9895,11208,9585,9444,9067,10637,8335,400
2023-01-01 09:08:00,9956,10136,11335,9814,9658,9229,10890,8489,400
2023-01-01 09:09:00,10198,10420,11482,10066,9886,9416,11094,8653,400
2023-01-01 09:10:00,10461,10667,11662,10319,10103,9610,11268,8811,400
2023-01-01 09:11:00,10713,10937,11938,10571,10324,9806,11487,8974,400
2023-01-01 09:12:00,10986,11191,12336,10819,10545,9994,11785,9146,400
2023-01-01 09:13:00,11239,11462,12647,11056,10766,10180,12043,9325,400
2023-01-01 09:14:00,11482,11735,12910,11290,10988,10368,12328,9515,400
2023-01-01 09:15:00,11717,12020,13181,11520,11206,10561,12580,9710,400
2023-01-01 09:16:00,11966,12289,13418,11755,11427,10767,12811,9909,400
2023-01-01 09:17:00,12213,12549,13632,11997,11654,10987,13093,10094,400
2023-01-01 09:18:00,12480,12791,13910,12258,11896,11219,13377,10278,400
2023-01-01 09:19:00,12771,13075,14232,12537,12158,11450,13625,10476,400
2023-01-01 09:20:00,13085,13399,14557,12842,12437,11689,13966,10691,400
2023-01-01 09:21:00,13413,13736,14900,13150,12721,11941,14306,10902,400
2023-01-01 09:22:00,13752,14067,15275,13453,12995,12194,14656,11086,400
2023-01-01 09:23:00,14092,14427,15693,13768,13279,12446,15036,11262,400
2023-01-01 09:24:00,14482,14834,16167,14122,13600,12717,15464,11457,400
2023-01-01 09:25:00,14964,15346,16794,14553,13992,13032,16042,11710,400
2023-01-01 09:26:00,15400,15781,17324,14951,14345,13316,16531,11944,400
2023-01-01 09:27:00,15645,16034,17539,15193,14553,13489,16756,12094,400
2023-01-01 09:28:00,15982,16398,17849,15509,14821,13721,17103,12300,400
2023-01-01 09:29:00,16321,16762,18209,15832,15098,13964,17462,12515,400
2023-01-01 09:30:00,16593,17062,18532,16089,15315,14166,17732,12682,400
2023-01-01 09:31:00,16964,17449,18944,16442,15625,14434,18139,12895,400
2023-01-01 09:32:00,17238,17734,19280,16701,15861,14639,18429,13039,400
2023-01-01 09:33:00,17458,17948,19540,16902,16045,14793,18658,13140,400
2023-01-01 09:34:00,17774,18305,19953,17209,16319,15002,19072,13298,400
2023-01-01 09:35:00,17936,18484,20127,17367,16472,15095,19250,13365,400
2023-01-01 09:36:00,18150,18703,20368,17573,16640,15203,19488,13456,400
2023-01-01 09:37:00,18368,18937,20602,17788,16797,15330,19741,13565,400
2023-01-01 09:38:00,18439,18999,20660,17853,16836,15366,19800,13579,400
2023-01-01 09:39:00,18543,19097,20710,17929,16898,15429,19865,13603,400
2023-01-01 09:40:00,18750,19310,20905,18093,17044,15560,20072,13683,400
2023-01-01 09:41:00,19150,19742,21378,18433,17346,15829,20541,13880,400
2023-01-01 09:42:00,19363,19978,21644,18618,17504,15957,20796,13945,400
2023-01-01 09:43:00,19556,20204,21886,18801,17652,16090,21024,14023,400
2023-01-01 09:44:00,19674,20333,22019,18920,17751,16194,21151,14092,400
2023-01-01 09:45:00,19804,20457,22150,19051,17873,16323,21312,14202,400
2023-01-01 09:46:00,19756,20372,22049,19026,17870,16336,21218,14250,400
2023-01-01 09:47:00,19716,20295,21954,19021,17897,16378,21088,14326,400
2023-01-01 09:48:00,19844,20414,22053,19169,18054,16538,21170,14495,400
2023-01-01 09:49:00,19967,20532,22167,19302,18197,16686,21275,14645,400
2023-01-01 09:50:00,20072,20625,22201,19419,18330,16836,21382,14778,400
2023-01-01 09:51:00,20164,20713,22282,19526,18453,16973,21474,14892,400
2023-01-01 09:52:00,20165,20699,22259,19552,18505,17039,21456,14927,400
2023-01-01 09:53:00,20297,20836,22403,19681,18640,17153,21597,14996,400
2023-01-01 09:54:00,20552,21114,22748,19909,18846,17317,21890,15107,400
2023-01-01 09:55:00,20448,20985,22620,19824,18774,17239,21726,15042,400
2023-01-01 09:56:00,20475,20991,22626,19859,18811,17274,21735,15071,400
2023-01-01 09:57:00,20618,21163,22798,19990,18916,17368,21919,15158,400
2023-01-01 09:58:00,20838,21421,23069,20164,19057,17501,22210,15272,400
2023-01-01 09:59:00,21362,22019,23733,20609,19429,17825,22886,15536,400
2023-01-01 10:00:00,21724,22451,24263,20909,19688,18041,23381,15721,400
2023-01-01 10:01:00,21759,22507,24386,20948,19741,18084,23444,15763,400
