"Time","Lux4 Regression","Lux1 Regression","Lux8 Regression","Lux2 Regression","Lux7 Regression","Lux6 Regression","Lux3 Regression","Lux5 Regression","Lux0 Regression"
2022-12-22 09:18:15,8921,10088,8867,9546,8891,8874,9106,8860,400
2022-12-22 09:18:45,9377,10487,9313,10043,9351,9349,9554,9330,400
2022-12-22 09:19:15,9890,10997,9801,10548,9864,9877,10059,9851,400
2022-12-22 09:19:45,10468,11654,10329,11095,10441,10467,10644,10436,400
2022-12-22 09:20:15,11110,12273,10905,11754,11093,11133,11278,11098,400
2022-12-22 09:21:00,11840,13001,11445,12448,11799,11874,11986,11834,400
2022-12-22 09:21:15,12591,13712,11875,13180,12467,12599,12733,12577,400
2022-12-22 09:21:45,13372,14468,12262,13917,13125,13340,13494,13344,400
2022-12-22 09:22:15,14082,15157,12587,14613,13686,13992,14188,14032,400
2022-12-22 09:23:00,14700,15832,12855,15209,14156,14589,14809,14638,400
2022-12-22 09:23:15,15231,16396,13063,15788,14509,15064,15347,15155,400
2022-12-22 09:24:00,15653,16778,13241,16208,14767,15424,15770,15562,400
2022-12-22 09:24:15,16044,17143,13393,16592,14972,15757,16156,15943,400
2022-12-22 09:24:45,16324,17428,13477,16908,15076,15977,16442,16224,400
2022-12-22 09:25:15,16580,17737,13515,17194,15138,16158,16714,16443,400
2022-12-22 09:25:45,16659,17911,13527,17277,15144,16200,16811,16496,400
2022-12-22 09:26:15,16583,17919,13537,17222,15126,16152,16773,16426,400
2022-12-22 09:26:45,16505,17901,13563,17191,15125,16089,16713,16352,400
2022-12-22 09:27:15,16378,17785,13579,17112,15104,15969,16575,16223,400
2022-12-22 09:27:45,16244,17626,13602,17007,15100,15885,16453,16109,400
2022-12-22 09:28:15,16079,17458,13621,16839,15087,15766,16278,15952,400
2022-12-22 09:28:45,15997,17368,13667,16723,15108,15734,16183,15890,400
2022-12-22 09:29:15,16028,17359,13707,16742,15158,15769,16212,15933,400
2022-12-22 09:29:45,16017,17321,13703,16702,15152,15742,16178,15911,400
2022-12-22 09:30:15,15753,16997,13637,16428,15014,15486,15912,15637,400
2022-12-22 09:30:45,15333,16522,13530,15981,14779,15132,15486,15233,400
2022-12-22 09:31:15,14988,16133,13456,15625,14594,14837,15153,14907,400
2022-12-22 09:31:45,14744,15890,13426,15371,14422,14615,14901,14683,400
2022-12-22 09:32:15,14530,15641,13413,15109,14227,14417,14675,14487,400
2022-12-22 09:33:00,14369,15493,13334,14947,14073,14260,14511,14327,400
2022-12-22 09:33:15,14305,15453,13219,14904,13990,14189,14443,14268,400
2022-12-22 09:34:00,14172,15404,13084,14805,13830,14038,14328,14128,400
2022-12-22 09:34:15,13921,15170,12915,14594,13544,13762,14114,13872,400
2022-12-22 09:35:00,13698,14954,12721,14357,13288,13515,13896,13636,400
2022-12-22 09:35:15,13561,14826,12571,14220,13139,13376,13772,13500,400
2022-12-22 09:36:00,13472,14758,12485,14164,13035,13280,13673,13408,400
2022-12-22 09:36:15,13381,14548,12408,14037,12943,13189,13570,13317,400
2022-12-22 09:37:00,13306,14556,12351,13960,12871,13109,13497,13239,400
2022-12-22 09:37:15,13184,14418,12248,13840,12763,12994,13380,13115,400
2022-12-22 09:38:00,13009,14415,12095,13695,12596,12821,13216,12930,400
2022-12-22 09:38:15,12894,14234,11995,13586,12477,12698,13091,12808,400
2022-12-22 09:39:00,12785,14044,11906,13476,12379,12599,12961,12711,400
2022-12-22 09:39:15,12822,13991,11922,13402,12422,12635,12988,12751,400
2022-12-22 09:40:00,12940,14048,12043,13504,12533,12744,13094,12863,400
2022-12-22 09:40:15,12977,14051,12051,13535,12553,12769,13128,12893,400
2022-12-22 09:41:00,12883,14008,11883,13488,12401,12643,13055,12771,400
2022-12-22 09:41:15,12696,13870,11654,13371,12160,12431,12892,12570,400
2022-12-22 09:42:00,12572,13787,11488,13305,11982,12275,12809,12421,400
2022-12-22 09:42:15,12682,13881,11490,13386,12005,12331,12917,12503,400
2022-12-22 09:43:00,12899,14186,11681,13745,12200,12548,13153,12725,400
2022-12-22 09:43:15,13382,14918,12000,14265,12567,12967,13636,13189,400
2022-12-22 09:43:45,13556,14994,12143,14410,12734,13140,13813,13361,400
2022-12-22 09:44:15,14315,15908,12552,15252,13246,13759,14628,14082,400
2022-12-22 09:44:45,14675,16288,12808,15568,13495,14046,14976,14430,400
2022-12-22 09:45:15,15600,17246,13311,16599,14076,14758,15937,15298,400
2022-12-22 09:46:00,16243,18040,13671,17371,14472,15216,16668,15832,400
2022-12-22 09:46:15,16390,18376,13727,17682,14538,15304,16879,15953,400
2022-12-22 09:47:00,16159,18007,13723,17372,14469,15158,16578,15780,400
2022-12-22 09:47:15,16060,17820,13690,17123,14416,15076,16425,15695,400
2022-12-22 09:47:45,16095,17607,13797,17003,14518,15151,16419,15734,400
2022-12-22 09:48:15,16398,17915,14103,17319,14864,15493,16737,16068,400
2022-12-22 09:48:45,17011,18741,14568,18045,15419,16095,17392,16670,400
2022-12-22 09:49:15,17643,19471,14970,18695,15984,16714,18036,17286,400
2022-12-22 09:49:45,18411,20200,15378,19450,16622,17430,18797,18043,400
2022-12-22 09:50:15,19723,21608,15721,20925,17287,18320,20209,19184,400
2022-12-22 09:51:00,19815,21917,15604,21127,17301,18362,20384,19238,400
2022-12-22 09:51:15,18804,20319,15252,19719,16921,17814,19161,18463,400
2022-12-22 09:52:00,19004,20465,15260,19853,17067,17987,19311,18665,400
2022-12-22 09:52:15,19262,20752,15309,20085,17300,18266,19548,18930,400
2022-12-22 09:52:45,19373,20842,15355,20179,17458,18416,19648,19056,400
2022-12-22 09:53:15,19354,20749,15416,20147,17502,18445,19633,19039,400
2022-12-22 09:53:45,19127,20522,15460,19897,17406,18274,19390,18854,400
2022-12-22 09:54:15,18904,20227,15490,19661,17214,18054,19132,18648,400
2022-12-22 09:54:45,18698,19888,15478,19406,16984,17831,18916,18447,400
2022-12-22 09:55:15,18607,19876,15478,19318,16860,17722,18816,18351,400
2022-12-22 09:55:45,18753,20134,15530,19505,16886,17751,18988,18430,400
2022-12-22 09:56:15,19027,20541,15628,19881,16967,17861,19338,18618,400
2022-12-22 09:56:45,19327,20995,15750,20281,17096,18018,19689,18851,400
2022-12-22 09:57:15,19607,21410,15826,20635,17248,18182,20032,19072,400
2022-12-22 09:57:45,19775,21680,15842,20976,17347,18281,20276,19202,400
2022-12-22 09:58:15,19800,21659,15790,20975,17349,18272,20291,19214,400
2022-12-22 09:58:45,19635,21366,15697,20675,17240,18144,20072,19056,400
2022-12-22 09:59:15,19260,21037,15537,20366,17006,17874,19693,18728,400
2022-12-22 09:59:45,19238,20933,15682,20289,17067,17913,19692,18701,400
2022-12-22 10:00:15,18973,21017,15459,20295,16713,17557,19574,18350,400
2022-12-22 10:00:45,18175,20089,15092,19409,16169,16911,18692,17612,400
2022-12-22 10:01:15,18450,21134,15313,20126,16362,17109,19154,17838,400
2022-12-22 10:01:45,17458,19751,14713,18865,15601,16303,18020,16957,400
2022-12-22 10:02:15,16992,19108,14467,18314,15258,15897,17516,16525,400
2022-12-22 10:02:45,16804,18784,14362,18038,15135,15754,17276,16359,400
2022-12-22 10:03:15,17107,19047,14565,18302,15378,16063,17553,16661,400
2022-12-22 10:03:45,16608,18366,14427,17713,15214,15744,17001,16248,400
2022-12-22 10:04:15,16437,18087,14385,17421,15174,15637,16777,16104,400
2022-12-22 10:04:45,16515,18129,14446,17445,15291,15755,16845,16205,400
2022-12-22 10:05:15,16527,18148,14471,17440,15371,15814,16834,16248,400
2022-12-22 10:05:45,16544,18171,14519,17406,15444,15867,16815,16286,400
2022-12-22 10:06:15,16569,18160,14583,17391,15521,15941,16848,16336,400
2022-12-22 10:06:45,16610,18183,14649,17441,15587,16014,16874,16393,400
2022-12-22 10:07:15,16682,18249,14733,17528,15643,16081,16937,16467,400
2022-12-22 10:07:45,16619,18166,14742,17467,15609,16044,16884,16416,400
2022-12-22 10:08:15,16451,17969,14667,17275,15467,15894,16715,16252,400
2022-12-22 10:08:45,16281,17753,14575,17081,15332,15749,16536,16087,400
2022-12-22 10:09:15,16163,17591,14487,16969,15228,15641,16404,15969,400
2022-12-22 10:09:45,16135,17613,14421,16928,15185,15612,16382,15937,400
2022-12-22 10:10:15,16238,17791,14412,17057,15235,15702,16507,16036,400
2022-12-22 10:10:45,16527,18137,14545,17389,15436,15973,16800,16313,400
2022-12-22 10:11:15,17159,18883,14857,18134,15863,16520,17481,16906,400
2022-12-22 10:11:45,18539,20562,15541,19724,16741,17537,19023,18134,400
2022-12-22 10:12:15,18735,20818,15551,19979,16821,17693,19236,18314,400
2022-12-22 10:12:45,18672,20588,15455,19842,16799,17701,19118,18290,400
2022-12-22 10:13:15,19139,21153,15607,20379,17075,18058,19644,18715,400
2022-12-22 10:14:00,19458,21585,15622,20778,17242,18290,19989,19011,400
2022-12-22 10:14:15,19542,21752,15474,20932,17219,18324,20090,19086,400
2022-12-22 10:15:00,19137,21264,15070,20464,16849,17967,19651,18706,400
2022-12-22 10:15:15,18352,20227,14636,19428,16376,17386,18740,18033,400
2022-12-22 10:16:00,18031,19800,14485,19025,16231,17174,18348,17761,400
2022-12-22 10:16:15,17620,19270,14351,18529,16045,16898,17906,17399,400
2022-12-22 10:16:45,17374,18854,14355,18170,16002,16749,17620,17187,400
2022-12-22 10:17:15,17410,18794,14476,18182,16131,16783,17654,17208,400
2022-12-22 10:17:45,17555,18988,14647,18334,16311,16910,17817,17336,400
2022-12-22 10:18:15,17684,19067,14774,18418,16439,17034,17922,17482,400
2022-12-22 10:18:45,17877,19209,14897,18559,16610,17217,18077,17677,400
2022-12-22 10:19:15,18148,19432,15026,18815,16846,17486,18322,17960,400
2022-12-22 10:19:45,18544,19841,15139,19226,17161,17874,18727,18351,400
2022-12-22 10:20:15,19028,20380,15255,19742,17482,18318,19236,18817,400
2022-12-22 10:20:45,19526,20909,15398,20259,17764,18750,19757,19291,400
2022-12-22 10:21:15,19968,21349,15537,20709,17981,19109,20202,19711,400
2022-12-22 10:22:00,20345,21731,15685,21072,18197,19445,20577,20084,400
2022-12-22 10:22:15,20665,22088,15826,21403,18437,19779,20912,20418,400
2022-12-22 10:23:00,21108,22596,16021,21879,18756,20213,21377,20855,400
2022-12-22 10:23:15,21518,23064,16168,22354,19019,20615,21815,21255,400
2022-12-22 10:24:00,21884,23459,16294,22740,19256,20954,22189,21616,400
2022-12-22 10:24:15,22250,23798,16373,23105,19431,21210,22565,21970,400
2022-12-22 10:24:45,22663,24231,16457,23536,19611,21470,22992,22359,400
2022-12-22 10:25:15,23285,24827,16646,24180,19923,21859,23622,22902,400
2022-12-22 10:25:45,25752,27840,17520,27110,21156,23354,26309,24860,400
2022-12-22 10:26:15,26533,29296,17578,28342,21364,23714,27244,25446,400
2022-12-22 10:26:45,25828,28160,17204,27298,20959,23213,26413,24947,400
2022-12-22 10:27:15,25220,27063,16916,26300,20689,22882,25691,24484,400
2022-12-22 10:27:45,25970,27821,17061,27096,20991,23285,26459,25028,400
2022-12-22 10:28:15,26250,28418,17031,27624,21038,23464,26883,25212,400
2022-12-22 10:29:00,26121,28235,16948,27508,20999,23510,26768,25131,400
2022-12-22 10:29:15,25961,28111,16863,27377,20871,23432,26625,24989,400
2022-12-22 10:29:45,26311,28947,16878,28053,20915,23553,27118,25276,400
2022-12-22 10:30:15,25756,28122,16670,27261,20545,23155,26453,24839,400
2022-12-22 10:30:45,26582,29031,17066,28199,20915,23657,27282,25507,400
2022-12-22 10:31:15,25552,28069,16426,27124,20113,22842,26245,24652,400
2022-12-22 10:32:00,25064,26913,16226,26152,19893,22690,25552,24377,400
2022-12-22 10:32:15,24885,26440,16085,25782,19821,22731,25267,24329,400
2022-12-22 10:33:00,25157,26610,16088,25965,19914,22976,25504,24595,400
2022-12-22 10:33:15,25658,27085,16163,26449,20080,23298,25989,25072,400
2022-12-22 10:34:00,25978,27361,16160,26735,20210,23451,26304,25368,400
2022-12-22 10:34:15,26206,27489,16156,26878,20318,23537,26503,25600,400
2022-12-22 10:35:00,26269,27418,16119,26839,20366,23598,26516,25691,400
2022-12-22 10:35:15,26354,27444,16106,26876,20449,23734,26565,25798,400
2022-12-22 10:35:45,26523,27654,16119,27062,20579,23910,26737,25946,400
2022-12-22 10:36:30,26524,27695,16119,27095,20717,24034,26757,25995,400
2022-12-22 10:36:45,26273,27381,16101,26826,20760,24010,26486,25817,400
2022-12-22 10:37:15,25850,27003,16058,26370,20671,23834,26056,25408,400
2022-12-22 10:37:45,25174,26396,15995,25724,20452,23404,25398,24784,400
2022-12-22 10:38:15,24213,25442,15882,24788,20197,22794,24433,23946,400
2022-12-22 10:38:45,23112,24311,15767,23708,19882,22073,23328,22913,400
2022-12-22 10:39:15,22088,23326,15664,22715,19562,21363,22302,21890,400
2022-12-22 10:39:45,21129,22397,15557,21778,19269,20526,21339,20939,400
2022-12-22 10:40:15,20344,21572,15479,20974,18997,19782,20523,20165,400
2022-12-22 10:40:45,19785,20962,15385,20407,18639,19247,19950,19612,400
2022-12-22 10:41:15,19304,20538,15314,19933,18184,18782,19463,19136,400
2022-12-22 10:42:00,18876,20090,15297,19524,17705,18354,19053,18710,400
2022-12-22 10:42:15,18475,19754,15277,19110,17329,17933,18644,18297,400
2022-12-22 10:43:00,18156,19469,15258,18817,17068,17592,18320,17967,400
2022-12-22 10:43:15,17936,19249,15227,18596,16866,17360,18113,17743,400
2022-12-22 10:44:00,17831,19107,15197,18498,16774,17250,18008,17637,400
2022-12-22 10:44:15,17784,18956,15129,18407,16732,17195,17951,17585,400
2022-12-22 10:45:00,17646,18801,15059,18247,16625,17078,17808,17465,400
2022-12-22 10:45:15,17442,18658,15025,18069,16440,16880,17613,17258,400
2022-12-22 10:46:00,17194,18394,14988,17853,16199,16631,17386,17003,400
2022-12-22 10:46:15,16962,18217,14961,17617,15957,16388,17173,16756,400
2022-12-22 10:47:00,16750,17970,14891,17426,15732,16167,16978,16537,400
2022-12-22 10:47:15,16539,17830,14823,17260,15514,15949,16765,16327,400
2022-12-22 10:48:15,16218,17580,14679,16967,15189,15607,16453,16000,400
2022-12-22 10:48:45,16099,17332,14559,16794,15058,15467,16301,15869,400
2022-12-22 10:49:15,15943,17237,14398,16653,14917,15311,16152,15707,400
2022-12-22 10:50:00,15798,17040,14232,16452,14793,15166,16003,15544,400
2022-12-22 10:50:15,15614,16812,14118,16290,14646,15000,15804,15346,400
2022-12-22 10:51:15,15387,16583,14084,16055,14561,14865,15599,15143,400
2022-12-22 10:51:45,15449,16797,14093,16178,14701,14978,15657,15231,400
2022-12-22 10:52:15,15531,16890,14057,16249,14843,15101,15756,15335,400
2022-12-22 10:52:45,15462,16823,13993,16211,14831,15070,15700,15283,400
2022-12-22 10:53:15,15145,16562,13862,15917,14585,14799,15393,14991,400
2022-12-22 10:53:45,14616,16020,13651,15378,14149,14333,14856,14487,400
2022-12-22 10:54:15,14020,15380,13360,14778,13662,13803,14243,13909,400
2022-12-22 10:54:45,13500,14749,13002,14231,13249,13352,13714,13417,400
2022-12-22 10:55:15,13064,14393,12690,13661,12908,12979,13247,13010,400
2022-12-22 10:55:45,12716,13968,12431,13362,12623,12671,12874,12670,400
2022-12-22 10:56:15,12475,13704,12240,13101,12413,12445,12635,12432,400
2022-12-22 10:56:45,12303,13518,12092,12899,12252,12280,12479,12261,400
2022-12-22 10:57:15,12215,13389,12015,12806,12167,12188,12370,12167,400
2022-12-22 10:57:45,12242,13450,12071,12900,12218,12234,12412,12201,400
2022-12-22 10:58:15,12474,13584,12307,13104,12470,12444,12632,12436,400
2022-12-22 10:58:45,12887,13935,12655,13489,12899,12896,13040,12855,400
2022-12-22 10:59:15,13385,14501,13026,13961,13408,13405,13526,13370,400
2022-12-22 10:59:45,13889,15062,13368,14441,13907,13910,14033,13882,400
2022-12-22 11:00:15,14312,15455,13635,14850,14317,14329,14448,14317,400
2022-12-22 11:00:45,14688,15851,13860,15248,14699,14713,14838,14714,400
2022-12-22 11:01:15,15045,16116,14057,15611,15051,15070,15185,15084,400
2022-12-22 11:01:45,15360,16490,14243,15913,15364,15385,15495,15405,400
2022-12-22 11:02:15,15625,16740,14406,16187,15622,15648,15756,15673,400
2022-12-22 11:02:45,15871,16974,14538,16429,15867,15902,15999,15925,400
2022-12-22 11:03:15,16156,17300,14657,16682,16142,16187,16276,16212,400
2022-12-22 11:04:00,16429,17540,14786,16957,16360,16454,16547,16481,400
2022-12-22 11:04:15,16631,17707,14930,17159,16485,16650,16750,16679,400
2022-12-22 11:05:00,16721,17860,15078,17235,16541,16726,16853,16762,400
2022-12-22 11:05:15,16726,17903,15187,17266,16577,16731,16855,16779,400
2022-12-22 11:05:45,16755,17827,15274,17357,16606,16749,16862,16807,400
2022-12-22 11:06:15,16841,17906,15345,17375,16679,16819,16959,16889,400
2022-12-22 11:06:45,17012,18120,15415,17543,16833,16981,17126,17059,400
2022-12-22 11:07:15,17280,18386,15489,17813,17046,17225,17392,17313,400
2022-12-22 11:07:45,17571,18665,15566,18089,17264,17485,17668,17585,400
2022-12-22 11:08:15,17874,18964,15649,18396,17483,17745,17990,17875,400
2022-12-22 11:08:45,18191,19301,15740,18738,17694,18006,18314,18171,400
2022-12-22 11:09:15,18541,19701,15795,19165,17925,18275,18685,18484,400
2022-12-22 11:10:00,18914,20211,15836,19588,18178,18578,19097,18826,400
2022-12-22 11:10:15,19234,20544,15886,19929,18387,18857,19443,19119,400
2022-12-22 11:11:00,19494,20994,15898,20275,18529,19054,19745,19337,400
2022-12-22 11:11:15,19638,21162,15927,20477,18628,19180,19935,19454,400
2022-12-22 11:12:00,19634,21275,15959,20498,18691,19212,19935,19460,400
2022-12-22 11:12:15,19420,20953,15925,20263,18591,19029,19710,19262,400
2022-12-22 11:13:00,18988,20307,15830,19667,18286,18639,19188,18859,400
2022-12-22 11:13:15,18592,19873,15842,19296,17982,18281,18780,18489,400
2022-12-22 11:14:00,18319,19657,16014,19016,17766,18025,18506,18230,400
2022-12-22 11:14:15,18409,19700,16208,19084,17889,18131,18584,18320,400
2022-12-22 11:15:00,18852,20094,16313,19470,18361,18613,19016,18768,400
2022-12-22 11:15:15,19502,20819,16392,20152,19042,19307,19681,19431,400
2022-12-22 11:16:00,20171,21421,16445,20812,19709,20005,20345,20115,400
2022-12-22 11:16:15,20726,21928,16492,21300,20191,20604,20855,20693,400
2022-12-22 11:17:00,21150,22284,16498,21678,20526,21049,21255,21118,400
2022-12-22 11:17:15,21481,22513,16495,21931,20732,21423,21547,21471,400
2022-12-22 11:18:00,21768,22805,16508,22225,20855,21703,21839,21751,400
2022-12-22 11:18:15,21951,23032,16530,22418,20932,21848,22030,21916,400
2022-12-22 11:19:00,21994,23138,16566,22515,20990,21850,22104,21938,400
2022-12-22 11:19:15,21991,23216,16606,22548,21049,21813,22112,21912,400
2022-12-22 11:20:00,22079,23373,16622,22715,21175,21875,22233,21985,400
2022-12-22 11:20:15,22212,23549,16594,22888,21316,21990,22396,22110,400
2022-12-22 11:21:00,22317,23606,16527,22945,21371,22091,22482,22221,400
2022-12-22 11:21:15,22262,23415,16415,22781,21217,22035,22387,22171,400
2022-12-22 11:22:00,21936,23083,16281,22425,20875,21737,22050,21867,400
2022-12-22 11:22:15,21453,22600,16114,21943,20462,21262,21581,21380,400
2022-12-22 11:23:00,20855,22034,15924,21384,19998,20651,20992,20776,400
2022-12-22 11:23:15,20187,21419,15727,20753,19439,19969,20343,20099,400
2022-12-22 11:24:00,19471,20684,15509,20041,18863,19257,19647,19381,400
2022-12-22 11:24:15,18748,20056,15303,19397,18258,18542,18928,18665,400
2022-12-22 11:25:00,18015,19308,15046,18610,17603,17816,18177,17935,400
2022-12-22 11:25:15,17221,18405,14739,17832,16906,17064,17379,17175,400
2022-12-22 11:26:00,16387,17606,14410,16995,16167,16286,16551,16360,400
2022-12-22 11:26:15,15594,16764,14035,16199,15429,15520,15742,15563,400
2022-12-22 11:27:00,14839,15988,13659,15414,14717,14788,14987,14807,400
2022-12-22 11:27:15,14184,15345,13334,14790,14082,14140,14331,14142,400
2022-12-22 11:27:45,13641,14803,13023,14246,13565,13605,13799,13597,400
2022-12-22 11:28:15,13231,14352,12766,13831,13171,13193,13391,13182,400
2022-12-22 11:28:45,12914,13951,12584,13498,12879,12887,13073,12867,400
2022-12-22 11:29:15,12802,13970,12541,13344,12786,12789,12963,12762,400
2022-12-22 11:29:45,12926,14004,12652,13514,12923,12925,13089,12895,400
2022-12-22 11:30:15,13196,14235,12763,13749,13174,13189,13344,13164,400
2022-12-22 11:30:45,13422,14539,12822,14008,13380,13410,13579,13390,400
2022-12-22 11:31:15,13540,14669,12844,14122,13483,13520,13687,13504,400
2022-12-22 11:31:45,13578,14715,12822,14166,13517,13555,13729,13538,400
2022-12-22 11:32:15,13569,14728,12789,14159,13510,13541,13717,13524,400
2022-12-22 11:32:45,13486,14600,12726,14077,13448,13468,13632,13445,400
2022-12-22 11:33:15,13351,14453,12634,13954,13328,13335,13492,13312,400
2022-12-22 11:33:45,13166,14304,12492,13760,13144,13142,13305,13124,400
2022-12-22 11:34:15,12934,14070,12305,13549,12907,12907,13079,12893,400
2022-12-22 11:34:45,12647,13805,12034,13275,12612,12618,12805,12605,400
2022-12-22 11:35:15,12283,13499,11681,12916,12223,12239,12435,12227,400
2022-12-22 11:36:00,11816,13027,11283,12453,11742,11773,11996,11764,400
2022-12-22 11:36:15,11306,12493,10866,11953,11207,11254,11493,11243,400
2022-12-22 11:37:00,10757,11979,10409,11388,10632,10687,10945,10680,400
2022-12-22 11:37:15,10212,11456,9940,10867,10077,10133,10407,10139,400
2022-12-22 11:38:00,9732,10939,9488,10376,9577,9633,9927,9652,400
2022-12-22 11:38:15,9282,10496,9044,9964,9114,9169,9473,9203,400
2022-12-22 11:39:00,8853,10089,8606,9552,8673,8724,9048,8768,400
2022-12-22 11:39:15,8439,9667,8187,9118,8252,8300,8637,8351,400
2022-12-22 11:40:00,8028,9296,7770,8673,7834,7881,8220,7932,400
2022-12-22 11:40:15,7608,8964,7355,8294,7419,7465,7824,7524,400
2022-12-22 11:41:00,7258,8643,6981,8009,7050,7097,7443,7153,400
2022-12-22 11:41:15,6956,8243,6697,7681,6765,6807,7189,6864,400
2022-12-22 11:41:45,6767,7908,6501,7375,6570,6614,6982,6675,400
2022-12-22 11:42:15,6607,7773,6342,7242,6410,6456,6816,6513,400
2022-12-22 11:42:45,6473,7678,6195,7082,6261,6309,6686,6368,400
2022-12-22 11:43:15,6321,7614,6065,6953,6125,6173,6531,6230,400
2022-12-22 11:43:45,6199,7538,5947,6817,6004,6048,6412,6102,400
2022-12-22 11:44:30,6096,7508,5852,6733,5908,5950,6321,5998,400
2022-12-22 11:44:45,6002,7442,5762,6592,5819,5858,6240,5910,400
2022-12-22 11:45:15,5910,7388,5663,6499,5718,5755,6119,5804,400
2022-12-22 11:45:45,5815,7356,5575,6425,5630,5665,6065,5707,400
2022-12-22 11:46:15,5756,7315,5522,6379,5575,5609,5973,5652,400
2022-12-22 11:47:00,5745,7273,5517,6382,5568,5599,5958,5639,400
2022-12-22 11:47:15,5792,7252,5573,6406,5618,5648,5993,5687,400
2022-12-22 11:48:00,5861,7237,5651,6442,5693,5722,6087,5760,400
2022-12-22 11:48:15,5941,7242,5724,6629,5766,5794,6110,5830,400
2022-12-22 11:49:00,6013,7278,5794,6785,5838,5870,6200,5904,400
2022-12-22 11:49:15,6084,7353,5858,6824,5906,5941,6285,5977,400
2022-12-22 11:50:15,6235,7488,6014,6933,6065,6110,6461,6145,400
2022-12-22 11:51:15,6367,7627,6150,7081,6201,6245,6589,6271,400
