"Time","Lux4 Regression","Lux2 Regression","Lux1 Regression","Lux7 Regression","Lux6 Regression","Lux8 Regression","Lux3 Regression","Lux0 Regression","Lux5 Regression"
2022-12-31 08:21:00,1145,2483,3675,910,952,879,1440,400,1039
2022-12-31 08:22:00,1307,2488,3685,1003,1060,973,1446,400,1111
2022-12-31 08:23:00,1436,2496,3696,1108,1167,1079,1463,400,1238
2022-12-31 08:24:00,1540,2507,3707,1216,1269,1187,1509,400,1368
2022-12-31 08:25:00,1612,2516,3716,1326,1371,1299,1636,400,1481
2022-12-31 08:26:00,1710,2525,3723,1455,1495,1430,1858,400,1598
2022-12-31 08:27:00,1805,2538,3725,1568,1622,1543,2012,400,1711
2022-12-31 08:28:00,1913,2574,3727,1672,1727,1652,2157,400,1810
2022-12-31 08:29:00,2029,2643,3729,1792,1840,1769,2318,400,1921
2022-12-31 08:30:00,2095,2629,3729,1847,1893,1824,2432,400,1979
2022-12-31 08:31:00,2235,2638,3716,1956,2003,1934,2491,400,2089
2022-12-31 08:32:00,2422,2733,3725,2130,2171,2112,2598,400,2247
2022-12-31 08:33:00,2622,3002,3738,2362,2401,2348,2782,400,2485
2022-12-31 08:34:00,2873,3352,3787,2595,2633,2586,3002,400,2702
2022-12-31 08:35:00,3052,3553,3893,2800,2835,2796,3230,400,2905
2022-12-31 08:36:00,3202,3742,4055,2967,2997,2966,3359,400,3066
2022-12-31 08:37:00,3341,3903,4220,3124,3152,3124,3548,400,3228
2022-12-31 08:38:00,3504,4057,4379,3302,3328,3299,3722,400,3403
2022-12-31 08:39:00,3672,4222,4593,3485,3505,3477,3870,400,3585
2022-12-31 08:40:00,3814,4456,4704,3626,3645,3616,3998,400,3710
2022-12-31 08:41:00,3959,4669,4794,3753,3766,3744,4145,400,3829
2022-12-31 08:42:00,4134,4891,4905,3908,3924,3899,4349,400,3989
2022-12-31 08:43:00,4303,5026,5099,4107,4115,4093,4590,400,4182
2022-12-31 08:44:00,4526,5222,5358,4336,4343,4316,4751,400,4404
2022-12-31 08:45:00,4773,5428,5721,4580,4587,4563,4983,400,4644
2022-12-31 08:46:00,5027,5724,6061,4850,4865,4827,5246,400,4919
2022-12-31 08:47:00,5281,5990,6319,5083,5108,5051,5497,400,5158
2022-12-31 08:48:00,5459,6160,6554,5247,5285,5211,5666,400,5338
2022-12-31 08:49:00,5551,6216,6763,5322,5372,5277,5751,400,5431
2022-12-31 08:50:00,5611,6254,6841,5348,5415,5303,5845,400,5490
2022-12-31 08:51:00,5614,6269,6837,5334,5407,5285,5834,400,5487
2022-12-31 08:52:00,5578,6258,6792,5280,5358,5221,5803,400,5448
2022-12-31 08:53:00,5616,6347,6781,5291,5377,5221,5841,400,5469
2022-12-31 08:54:00,5695,6431,6855,5346,5447,5263,5925,400,5545
2022-12-31 08:55:00,5798,6509,7130,5398,5524,5295,6011,400,5649
