"Time","Lux4 Regression","Lux6 Regression","Lux3 Regression","Lux7 Regression","Lux0 Regression","Lux8 Regression","Lux2 Regression","Lux1 Regression","Lux5 Regression"
2023-01-05 08:13:00,827,477,1343,414,400,392,2388,3583,519
2023-01-05 08:14:00,827,479,1343,422,400,400,2388,3583,519
2023-01-05 08:15:00,827,502,1343,457,400,425,2388,3583,529
2023-01-05 08:16:00,832,544,1343,503,400,468,2388,3583,580
2023-01-05 08:17:00,832,569,1343,529,400,497,2388,3583,617
2023-01-05 08:18:00,827,583,1343,550,400,522,2388,3583,646
2023-01-05 08:19:00,832,640,1343,592,400,563,2388,3583,689
2023-01-05 08:20:00,832,675,1343,625,400,594,2388,3583,738
2023-01-05 08:21:00,828,698,1343,644,400,620,2388,3583,765
2023-01-05 08:22:00,835,733,1343,687,400,653,2388,3583,818
2023-01-05 08:23:00,896,783,1343,740,400,708,2388,3583,865
2023-01-05 08:24:00,987,846,1344,806,400,776,2388,3583,916
2023-01-05 08:25:00,1078,937,1366,887,400,860,2388,3583,1019
2023-01-05 08:26:00,1104,979,1365,926,400,896,2388,3583,1068
2023-01-05 08:27:00,1127,970,1345,917,400,891,2388,3583,1029
2023-01-05 08:28:00,1185,1010,1347,965,400,937,2388,3583,1084
2023-01-05 08:29:00,1319,1098,1380,1051,400,1027,2388,3583,1179
2023-01-05 08:30:00,1392,1218,1578,1174,400,1150,2388,3583,1285
2023-01-05 08:31:00,1500,1303,1704,1261,400,1237,2389,3583,1382
2023-01-05 08:32:00,1531,1317,1697,1269,400,1244,2389,3583,1398
2023-01-05 08:33:00,1437,1236,1538,1188,400,1160,2389,3583,1322
2023-01-05 08:34:00,1393,1230,1593,1183,400,1158,2389,3583,1304
2023-01-05 08:35:00,1479,1318,1718,1276,400,1253,2390,3583,1408
2023-01-05 08:36:00,1586,1438,1913,1395,400,1375,2394,3583,1518
2023-01-05 08:37:00,1676,1497,1961,1454,400,1433,2395,3583,1580
2023-01-05 08:38:00,1722,1526,1947,1482,400,1461,2399,3583,1617
2023-01-05 08:39:00,1801,1606,1972,1562,400,1544,2429,3583,1685
2023-01-05 08:40:00,1915,1727,2122,1684,400,1669,2450,3584,1801
2023-01-05 08:41:00,2043,1846,2287,1805,400,1790,2466,3586,1930
2023-01-05 08:42:00,2194,1982,2374,1944,400,1931,2576,3589,2058
2023-01-05 08:43:00,2324,2134,2481,2098,400,2087,2846,3594,2209
2023-01-05 08:44:00,2499,2280,2652,2243,400,2234,3116,3594,2357
2023-01-05 08:45:00,2659,2434,2839,2398,400,2389,3281,3649,2507
2023-01-05 08:46:00,2767,2542,2945,2510,400,2501,3410,3717,2621
2023-01-05 08:47:00,2876,2651,3068,2612,400,2594,3519,3782,2736
2023-01-05 08:48:00,3031,2799,3238,2760,400,2744,3669,3882,2885
2023-01-05 08:49:00,3109,2881,3379,2838,400,2819,3860,3874,2971
2023-01-05 08:50:00,3209,2980,3473,2937,400,2921,3944,3912,3064
2023-01-05 08:51:00,3307,3087,3569,3051,400,3043,3967,3965,3172
2023-01-05 08:52:00,3525,3313,3789,3280,400,3282,4217,4286,3390
2023-01-05 08:53:00,3759,3569,3978,3544,400,3556,4425,4714,3640
2023-01-05 08:54:00,4022,3825,4200,3806,400,3818,4649,5068,3891
2023-01-05 08:55:00,4261,4055,4436,4036,400,4043,4847,5538,4121
2023-01-05 08:56:00,4260,4062,4462,4041,400,4044,4858,5629,4132
2023-01-05 08:57:00,4287,4092,4501,4073,400,4073,4826,5634,4153
2023-01-05 08:58:00,4055,3852,4251,3827,400,3810,4652,5335,3917
2023-01-05 08:59:00,3535,3317,3722,3283,400,3262,4154,4723,3389
2023-01-05 09:00:00,2996,2772,3187,2732,400,2716,3575,4078,2853
2023-01-05 09:01:00,2728,2523,2923,2487,400,2471,3212,3826,2596
2023-01-05 09:02:00,2725,2523,2875,2491,400,2475,3284,3722,2599
2023-01-05 09:03:00,2786,2575,2955,2542,400,2525,3306,3744,2646
2023-01-05 09:04:00,3013,2805,3181,2771,400,2753,3452,4096,2876
2023-01-05 09:05:00,3157,2945,3390,2908,400,2894,3820,4040,3020
2023-01-05 09:06:00,3220,3046,3470,3017,400,3013,3900,4018,3115
2023-01-05 09:07:00,3581,3407,3798,3387,400,3404,4216,4371,3464
2023-01-05 09:08:00,4077,3914,4272,3901,400,3928,4693,5139,3964
2023-01-05 09:09:00,4716,4566,4923,4565,400,4593,5239,6052,4607
2023-01-05 09:10:00,5248,5095,5476,5107,400,5119,5742,6665,5137
2023-01-05 09:11:00,5659,5518,5861,5545,400,5552,6231,6975,5555
