"Time","Lux4 Regression","Lux1 Regression","Lux8 Regression","Lux2 Regression","Lux6 Regression","Lux3 Regression","Lux7 Regression","Lux5 Regression","Lux0 Regression"
2022-12-25 09:18:15,16511,19274,11814,18288,14407,17314,13170,15566,400
2022-12-25 09:19:00,16610,19401,11887,18399,14522,17421,13272,15680,400
2022-12-25 09:19:15,16689,19508,11956,18475,14643,17494,13367,15794,400
2022-12-25 09:20:00,16787,19613,12017,18570,14763,17583,13465,15914,400
2022-12-25 09:20:15,16882,19719,12062,18661,14855,17672,13547,16016,400
2022-12-25 09:21:00,16987,19809,12119,18750,14976,17758,13648,16152,400
2022-12-25 09:21:15,17079,19848,12155,18809,15078,17835,13732,16247,400
2022-12-25 09:21:45,17189,19904,12219,18882,15229,17932,13829,16391,400
2022-12-25 09:22:15,17314,19992,12251,18994,15347,18051,13885,16518,400
2022-12-25 09:22:45,17406,20109,12261,19135,15429,18167,13915,16624,400
2022-12-25 09:23:15,16836,19444,11977,18476,15046,17544,13578,16132,400
2022-12-25 09:23:45,16655,19186,11900,18240,14909,17320,13461,15977,400
2022-12-25 09:24:15,17420,20100,12268,19189,15404,18156,13873,16645,400
2022-12-25 09:24:45,17091,19654,12092,18768,15154,17763,13668,16358,400
2022-12-25 09:25:15,17106,19566,12123,18736,15166,17734,13682,16378,400
2022-12-25 09:26:00,17084,19493,12125,18662,15149,17725,13676,16370,400
2022-12-25 09:26:15,17027,19417,12058,18557,15087,17659,13595,16310,400
2022-12-25 09:26:45,17107,19408,12151,18563,15196,17723,13700,16412,400
2022-12-25 09:27:15,16907,19281,12024,18393,15073,17540,13574,16229,400
2022-12-25 09:27:45,16923,19375,12016,18455,15132,17576,13621,16247,400
2022-12-25 09:28:15,16873,19324,11963,18394,15159,17534,13608,16208,400
2022-12-25 09:28:45,16868,19376,11916,18406,15144,17554,13577,16201,400
2022-12-25 09:29:15,17381,19936,12140,19026,15533,18078,13853,16673,400
2022-12-25 09:30:00,17540,20274,12089,19348,15555,18282,13829,16740,400
2022-12-25 09:30:15,17512,20170,12009,19238,15484,18220,13747,16688,400
