"Time","Lux6 Regression","Lux3 Regression","Lux7 Regression","Lux1 Regression","Lux0 Regression","Lux8 Regression","Lux2 Regression","Lux4 Regression","Lux5 Regression"
2022-12-27 08:21:00,2060,2375,2015,3965,400,1994,3030,2273,2164
2022-12-27 08:22:00,2240,2573,2199,4014,400,2173,3144,2449,2331
2022-12-27 08:23:00,2469,2870,2424,4095,400,2398,3304,2652,2548
2022-12-27 08:24:00,2682,3134,2637,4201,400,2608,3477,2863,2763
2022-12-27 08:25:00,2880,3373,2831,4324,400,2800,3659,3065,2951
2022-12-27 08:26:00,3052,3548,3005,4442,400,2971,3814,3245,3138
2022-12-27 08:27:00,3231,3706,3179,4605,400,3140,3969,3444,3313
2022-12-27 08:28:00,3423,3892,3363,4779,400,3321,4148,3639,3505
2022-12-27 08:29:00,3585,4092,3519,4950,400,3472,4336,3806,3669
2022-12-27 08:30:00,3703,4221,3634,5083,400,3579,4457,3930,3788
2022-12-27 08:31:00,3911,4464,3843,5331,400,3772,4709,4158,4009
2022-12-27 08:32:00,4129,4684,4057,5600,400,3980,4929,4393,4234
2022-12-27 08:33:00,4163,4703,4083,5645,400,3992,4966,4457,4278
2022-12-27 08:34:00,4152,4673,4067,5606,400,3957,4962,4460,4271
2022-12-27 08:35:00,4128,4683,4030,5625,400,3903,4940,4427,4258
2022-12-27 08:36:00,4121,4676,4013,5640,400,3873,4994,4446,4256
2022-12-27 08:37:00,4182,4718,4069,5672,400,3929,5149,4507,4322
2022-12-27 08:38:00,4165,4727,4054,5653,400,3926,5125,4489,4315
2022-12-27 08:39:00,4137,4634,4029,5566,400,3902,5114,4440,4272
2022-12-27 08:40:00,4258,4791,4147,5586,400,4013,5310,4574,4401
2022-12-27 08:41:00,4469,5074,4353,5903,400,4210,5571,4813,4631
2022-12-27 08:42:00,4583,5221,4460,6084,400,4310,5719,4927,4744
2022-12-27 08:43:00,4798,5465,4665,6458,400,4506,5930,5159,4965
2022-12-27 08:44:00,5031,5775,4889,6807,400,4733,6225,5414,5204
2022-12-27 08:45:00,5140,5854,5019,6855,400,4886,6297,5499,5295
2022-12-27 08:46:00,5088,5748,4989,6690,400,4870,6141,5413,5230
2022-12-27 08:47:00,5039,5615,4947,6500,400,4831,6007,5320,5158
