"Time","Lux4 Regression","Lux6 Regression","Lux0 Regression","Lux7 Regression","Lux1 Regression","Lux8 Regression","Lux2 Regression","Lux3 Regression","Lux5 Regression"
2022-12-28 08:21:00,863,715,400,663,3585,634,2394,1352,769
2022-12-28 08:22:00,925,766,400,718,3587,691,2396,1354,818
2022-12-28 08:23:00,990,812,400,767,3589,739,2398,1357,859
2022-12-28 08:24:00,1034,864,400,811,3591,782,2400,1360,906
2022-12-28 08:25:00,1079,904,400,850,3594,824,2403,1363,956
2022-12-28 08:26:00,1132,944,400,894,3597,865,2406,1367,1008
2022-12-28 08:27:00,1188,993,400,941,3602,916,2411,1372,1076
2022-12-28 08:28:00,1245,1048,400,1004,3616,977,2424,1385,1153
2022-12-28 08:29:00,1310,1136,400,1084,3646,1056,2449,1470,1224
2022-12-28 08:30:00,1363,1204,400,1156,3661,1129,2462,1573,1292
2022-12-28 08:31:00,1439,1271,400,1220,3676,1192,2476,1643,1353
2022-12-28 08:32:00,1442,1278,400,1227,3652,1200,2456,1646,1365
2022-12-28 08:33:00,1452,1301,400,1248,3641,1221,2448,1674,1373
2022-12-28 08:34:00,1473,1320,400,1274,3641,1250,2448,1733,1388
2022-12-28 08:35:00,1515,1347,400,1304,3638,1280,2446,1762,1429
2022-12-28 08:36:00,1567,1381,400,1338,3636,1312,2446,1791,1470
2022-12-28 08:37:00,1605,1414,400,1369,3637,1342,2447,1829,1504
2022-12-28 08:38:00,1637,1438,400,1392,3640,1364,2451,1849,1528
2022-12-28 08:39:00,1662,1462,400,1405,3640,1378,2450,1839,1542
2022-12-28 08:40:00,1691,1461,400,1420,3639,1390,2450,1780,1564
2022-12-28 08:41:00,1719,1484,400,1435,3640,1409,2450,1765,1561
2022-12-28 08:42:00,1744,1524,400,1474,3640,1448,2450,1855,1592
2022-12-28 08:43:00,1799,1576,400,1531,3638,1506,2448,1940,1659
2022-12-28 08:44:00,1865,1640,400,1597,3635,1571,2445,2053,1722
2022-12-28 08:45:00,1963,1714,400,1667,3632,1645,2442,2147,1803
