"Time","Lux4 Regression","Lux3 Regression","Lux6 Regression","Lux5 Regression","Lux8 Regression","Lux7 Regression","Lux2 Regression","Lux1 Regression","Lux0 Regression"
2022-12-30 08:21:00,2665,2773,2433,2501,2392,2404,3175,4099,400
2022-12-30 08:22:00,2811,2891,2566,2634,2527,2533,3311,4141,400
2022-12-30 08:23:00,2951,3041,2707,2773,2668,2674,3470,4197,400
2022-12-30 08:24:00,3085,3206,2857,2922,2815,2822,3634,4263,400
2022-12-30 08:25:00,3219,3384,3009,3083,2969,2979,3790,4342,400
2022-12-30 08:26:00,3370,3563,3164,3247,3132,3140,3948,4448,400
2022-12-30 08:27:00,3527,3737,3330,3414,3304,3310,4104,4611,400
2022-12-30 08:28:00,3695,3922,3511,3584,3487,3494,4265,4809,400
2022-12-30 08:29:00,3887,4140,3710,3775,3685,3691,4439,5022,400
2022-12-30 08:30:00,4121,4402,3956,4008,3914,3931,4658,5273,400
2022-12-30 08:31:00,4422,4725,4259,4311,4173,4223,4963,5571,400
2022-12-30 08:32:00,4752,5057,4567,4635,4426,4511,5305,5885,400
2022-12-30 08:33:00,5043,5340,4841,4924,4647,4763,5607,6157,400
2022-12-30 08:34:00,5492,5780,5218,5346,4953,5111,6087,6607,400
2022-12-30 08:35:00,5753,6028,5448,5591,5144,5322,6371,6871,400
2022-12-30 08:36:00,5981,6235,5644,5797,5315,5508,6607,7083,400
2022-12-30 08:37:00,6197,6436,5835,5992,5479,5687,6836,7281,400
2022-12-30 08:38:00,6399,6639,6023,6184,5640,5866,7057,7477,400
2022-12-30 08:39:00,6584,6832,6202,6367,5793,6034,7273,7675,400
2022-12-30 08:40:00,6749,7006,6369,6537,5937,6192,7475,7867,400
2022-12-30 08:41:00,6858,7115,6476,6648,6033,6295,7607,7992,400
2022-12-30 08:42:00,6906,7165,6531,6700,6081,6345,7684,8071,400
2022-12-30 08:43:00,7157,7424,6771,6952,6294,6581,7963,8335,400
2022-12-30 08:44:00,7101,7364,6723,6904,6261,6541,7912,8281,400
2022-12-30 08:45:00,7215,7477,6835,7024,6363,6650,8038,8409,400
2022-12-30 08:46:00,7177,7433,6828,7008,6350,6652,7971,8305,400
2022-12-30 08:47:00,7262,7498,6936,7107,6451,6760,8033,8353,400
2022-12-30 08:48:00,7347,7574,7051,7207,6559,6880,8108,8432,400
2022-12-30 08:49:00,7461,7692,7179,7323,6675,7009,8233,8547,400
2022-12-30 08:50:00,7629,7868,7333,7485,6801,7150,8424,8730,400
2022-12-30 08:51:00,7788,8029,7477,7638,6916,7281,8618,8928,400
2022-12-30 08:52:00,7966,8210,7632,7805,7037,7420,8818,9114,400
2022-12-30 08:53:00,8154,8403,7791,7979,7160,7563,9040,9324,400
2022-12-30 08:54:00,8368,8628,7969,8174,7291,7718,9288,9585,400
2022-12-30 08:55:00,8553,8821,8135,8347,7429,7870,9502,9804,400
2022-12-30 08:56:00,8810,9096,8343,8572,7578,8046,9794,10142,400
2022-12-30 08:57:00,8839,9107,8385,8620,7600,8078,9789,10116,400
2022-12-30 08:58:00,9525,9844,8974,9247,8068,8612,10531,10899,400
2022-12-30 08:59:00,9712,10075,9106,9401,8145,8728,10778,11181,400
2022-12-30 09:00:00,9545,9877,8942,9242,7999,8555,10569,10950,400
2022-12-30 09:01:00,10362,10778,9712,10035,8633,9264,11471,11882,400
2022-12-30 09:02:00,10763,11229,10067,10403,8891,9556,11962,12445,400
2022-12-30 09:03:00,10948,11431,10224,10576,9014,9691,12153,12645,400
2022-12-30 09:04:00,11112,11605,10372,10736,9131,9819,12328,12835,400
2022-12-30 09:05:00,11262,11764,10504,10883,9237,9937,12487,12999,400
2022-12-30 09:06:00,11421,11929,10647,11041,9353,10069,12648,13187,400
2022-12-30 09:07:00,11577,12085,10785,11194,9467,10202,12803,13363,400
2022-12-30 09:08:00,11717,12225,10909,11332,9570,10319,12942,13521,400
2022-12-30 09:09:00,11846,12351,11025,11460,9663,10429,13067,13661,400
2022-12-30 09:10:00,11992,12499,11153,11603,9764,10548,13215,13824,400
2022-12-30 09:11:00,12143,12654,11285,11752,9867,10669,13371,14001,400
2022-12-30 09:12:00,12299,12812,11420,11901,9969,10789,13532,14178,400
2022-12-30 09:13:00,12448,12968,11549,12045,10065,10902,13691,14357,400
2022-12-30 09:14:00,12592,13119,11672,12184,10157,11013,13850,14533,400
2022-12-30 09:15:00,12729,13258,11788,12316,10244,11115,13997,14702,400
2022-12-30 09:16:00,12857,13395,11901,12442,10333,11215,14142,14866,400
2022-12-30 09:17:00,12981,13522,12012,12563,10422,11315,14277,15021,400
2022-12-30 09:18:00,13095,13638,12114,12674,10502,11406,14397,15160,400
2022-12-30 09:19:00,13222,13769,12220,12791,10585,11504,14531,15310,400
2022-12-30 09:20:00,13342,13891,12320,12907,10661,11595,14655,15446,400
2022-12-30 09:21:00,13468,14018,12423,13022,10736,11684,14787,15587,400
2022-12-30 09:22:00,13580,14137,12514,13126,10804,11766,14905,15716,400
2022-12-30 09:23:00,13690,14251,12604,13223,10865,11844,15025,15842,400
2022-12-30 09:24:00,13792,14359,12688,13317,10926,11918,15129,15957,400
2022-12-30 09:25:00,13898,14469,12776,13418,10989,11995,15239,16076,400
2022-12-30 09:26:00,14011,14587,12874,13531,11059,12080,15348,16203,400
2022-12-30 09:27:00,14113,14692,12964,13635,11125,12159,15449,16320,400
2022-12-30 09:28:00,14210,14796,13053,13738,11187,12238,15550,16432,400
2022-12-30 09:29:00,14306,14894,13135,13836,11247,12314,15647,16543,400
2022-12-30 09:30:00,14395,14988,13215,13927,11306,12386,15742,16653,400
2022-12-30 09:31:00,14483,15082,13291,14016,11362,12458,15834,16748,400
2022-12-30 09:32:00,14576,15175,13369,14107,11417,12529,15924,16846,400
2022-12-30 09:33:00,14669,15267,13447,14196,11476,12602,16013,16943,400
2022-12-30 09:34:00,14765,15363,13533,14297,11539,12682,16108,17036,400
2022-12-30 09:35:00,14865,15469,13620,14393,11600,12760,16214,17148,400
2022-12-30 09:36:00,14962,15570,13701,14483,11654,12831,16312,17253,400
2022-12-30 09:37:00,15057,15667,13780,14573,11707,12900,16413,17354,400
2022-12-30 09:38:00,15138,15751,13845,14647,11751,12955,16498,17447,400
2022-12-30 09:39:00,15232,15849,13921,14731,11802,13020,16594,17544,400
2022-12-30 09:40:00,15318,15942,13995,14813,11854,13088,16689,17643,400
2022-12-30 09:41:00,15394,16021,14062,14884,11901,13148,16766,17718,400
2022-12-30 09:42:00,15498,16130,14149,14977,11959,13222,16873,17829,400
2022-12-30 09:43:00,15607,16239,14240,15073,12018,13300,16982,17936,400
2022-12-30 09:44:00,15712,16347,14326,15166,12069,13366,17091,18033,400
2022-12-30 09:45:00,15809,16439,14420,15258,12134,13451,17173,18105,400
2022-12-30 09:46:00,15871,16490,14481,15316,12178,13504,17212,18134,400
2022-12-30 09:47:00,15928,16544,14544,15372,12220,13557,17249,18154,400
2022-12-30 09:48:00,15971,16577,14594,15416,12257,13604,17271,18158,400
2022-12-30 09:49:00,16022,16628,14641,15460,12294,13649,17312,18189,400
2022-12-30 09:50:00,16067,16673,14685,15503,12324,13689,17349,18229,400
2022-12-30 09:51:00,16140,16742,14750,15567,12367,13743,17410,18278,400
2022-12-30 09:52:00,16215,16819,14814,15636,12409,13798,17477,18336,400
2022-12-30 09:53:00,16275,16876,14867,15688,12446,13845,17529,18382,400
2022-12-30 09:54:00,16335,16937,14920,15742,12482,13893,17588,18439,400
2022-12-30 09:55:00,16409,17011,14984,15808,12524,13946,17658,18501,400
2022-12-30 09:56:00,16467,17061,15031,15861,12557,13989,17702,18540,400
2022-12-30 09:57:00,16532,17117,15089,15920,12596,14037,17750,18581,400
2022-12-30 09:58:00,16603,17187,15149,15982,12635,14089,17827,18649,400
2022-12-30 09:59:00,16664,17249,15198,16034,12665,14130,17893,18711,400
2022-12-30 10:00:00,16721,17304,15246,16087,12697,14171,17954,18764,400
2022-12-30 10:01:00,16789,17366,15300,16145,12732,14217,18011,18820,400
2022-12-30 10:02:00,16837,17408,15337,16186,12760,14252,18059,18868,400
